"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"157";3,27;0,149;"CEBPB (directAnnotation). ";2;"CREB5;TMEM154"
"158";3,27;0,149;"";3;"CR1;CREB5;PMP22"
"159";3,27;0,149;"JUND (directAnnotation). ";3;"CD14;CREB5;PRDX1"
"160";3,27;0,149;"AR (directAnnotation). ";8;"ALDH1A1;CD14;CREB5;CREG1;IGFBP7;PMP22;TMEM154;VNN1"
"161";3,26;0,149;"";3;"CREG1;TMEM154;TNFRSF1A"
"162";3,26;0,149;"";4;"ALDH1A1;CREB5;FCGR1A;TNFRSF1A"
"163";3,26;0,148;"";4;"ALDH1A1;CREB5;IGFBP7;TMEM154"
"164";3,26;0,148;"POU2F2 (inferredBy_Orthology). ";5;"ALDH1A1;CR1;CREB5;PMP22;UPK3A"
"165";3,26;0,148;"";6;"CD14;CD163;CREB5;FCGR1A;PMP22;VNN1"
"166";3,26;0,148;"KDM5D (directAnnotation). ";4;"ALDH1A1;CR1;TNFRSF1A;UPK3A"
"167";3,25;0,148;"ZNF846 (directAnnotation). ";3;"CREB5;PMP22;TNFRSF1A"
"168";3,25;0,148;"CEBPB (directAnnotation). ";2;"CREB5;TMEM154"
"169";3,24;0,148;"";3;"ALDH1A1;CREB5;CREG1"
"170";3,24;0,148;"ZNF768 (directAnnotation). ";8;"ALDH1A1;CD14;CD163;CR1;CREB5;CREG1;TNFRSF1A;VNN1"
"171";3,24;0,148;"CEBPB (inferredBy_Orthology). ";3;"CREB5;TMEM154;TNFRSF1A"
"172";3,22;0,147;"";4;"CD14;CREB5;FCGR1A;PMP22"
"173";3,22;0,147;"AR (directAnnotation). ";6;"ALDH1A1;CD14;CREB5;IGFBP7;PMP22;TMEM154"
"174";3,21;0,147;"IRF3 (directAnnotation). ";3;"CD163;FCGR1A;UPK3A"
"175";3,21;0,147;"";3;"CD163;CREB5;IGFBP7"
"176";3,2;0,147;"";3;"CREB5;PMP22;SDF2L1"
"177";3,2;0,147;"";3;"CREG1;PMP22;PRDX1"
"178";3,2;0,146;"";3;"CREB5;TMEM154;VNN1"
"179";3,19;0,146;"";3;"ALDH1A1;CREB5;TMEM154"
"180";3,19;0,146;"POU2F1 (directAnnotation). ";4;"ALDH1A1;CR1;CREB5;UPK3A"
"181";3,19;0,146;"";2;"CD14;CREB5"
"182";3,19;0,146;"NR4A2 (directAnnotation). ";3;"CR1;CREB5;CREG1"
"183";3,18;0,146;"POU2F1 (directAnnotation). ";4;"ALDH1A1;CR1;CREB5;UPK3A"
"184";3,18;0,146;"";2;"CREB5;TMEM154"
"185";3,17;0,145;"";3;"CREB5;TMEM154;TNFRSF1A"
"186";3,17;0,145;"";3;"CD14;CREB5;TNFRSF1A"
"187";3,17;0,145;"";4;"ALDH1A1;CREB5;IGFBP7;TMEM154"
"188";3,16;0,145;"CEBPB (directAnnotation). ";2;"CREB5;TMEM154"
"189";3,16;0,145;"";3;"CD163;CREB5;TMEM154"
"190";3,16;0,145;"ATF4 (inferredBy_Orthology). ";5;"CREB5;FCGR1A;PRDX1;TMEM154;TNFRSF1A"
"191";3,16;0,145;"";4;"ALDH1A1;PMP22;PRDX1;TNFRSF1A"
"192";3,15;0,145;"";2;"CREB5;TMEM154"
"193";3,15;0,145;"";4;"ALDH1A1;CD14;CREB5;TNFRSF1A"
"194";3,15;0,145;"IRF5 (directAnnotation). ";3;"ALDH1A1;CREB5;PMP22"
"195";3,14;0,144;"ZNF768 (inferredBy_Orthology). ";8;"ALDH1A1;CD14;CD163;CR1;CREB5;CREG1;TNFRSF1A;VNN1"
"196";3,14;0,144;"DLX3; TFAP2C (directAnnotation). ";3;"CD14;CREB5;PRDX1"
"197";3,14;0,144;"CEBPB (directAnnotation). ";2;"CREB5;TMEM154"
"198";3,13;0,144;"PGR (directAnnotation). ";6;"ALDH1A1;CD14;CREB5;IGFBP7;PMP22;VNN1"
"199";3,13;0,144;"BCL3 (directAnnotation). ";6;"ALDH1A1;CD14;CD163;CR1;CREB5;PMP22"
"200";3,13;0,144;"ZNF141 (directAnnotation). ";7;"CR1;CREB5;FCGR1A;IGFBP7;PMP22;TMEM154;VNN1"
