"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"61";4,02;0,0812;"";10;"AOAH;AVPI1;FGL2;GABARAPL1;KLF9;MS4A6A;NFIA;RNF141;TIMP2;YWHAH"
"62";4;0,0809;"";25;"AVPI1;CD36;DNASE2;F13A1;FGD2;HAX1;HBEGF;HNMT;HPS3;IFNGR1;ITGA4;KLF9;LRRC25;MARCH1;NCF4;NFIA;P2RY13;PRAM1;RAD51C;RCAN1;RPN2;SIGLEC12;SUMF2;TBXAS1;TMEM170B"
"63";3,94;0,0801;"GABPA; NKX2-1 (directAnnotation). ";17;"AOAH;CD36;FGD2;HNMT;KCNK6;LRRC25;MAN2B1;METTL7A;MPEG1;NCF4;PRAM1;PRKAG2-AS1;RAD51C;RCAN1;RPN2;SIGLEC12;TBXAS1"
"64";3,9;0,0796;"";8;"ADAP2;CD36;FGD2;HNMT;ITM2B;KCNK6;KLF9;TSPAN4"
"65";3,89;0,0794;"PAX3 (directAnnotation). ";14;"AOAH;CD36;CTSA;FABP5;FCGRT;GABARAPL1;HBEGF;HRH2;ITGA4;METTL7A;NFIA;PRKAG2-AS1;RCAN1;SIGLEC10"
"66";3,87;0,079;"";26;"CD36;F13A1;FABP5;FGD2;FGL2;HAX1;HNMT;HRH2;IFNGR1;ITGA4;KCNK6;KLF9;MARCH1;METTL7A;MGST2;MPEG1;NCF4;NCOA7;PPT1;PRAM1;PRKAG2-AS1;RAD51C;SAMHD1;SIGLEC12;TBXAS1;TESC"
"67";3,85;0,0788;"PAX7 (directAnnotation). ";9;"AOAH;CD36;FABP5;FCGRT;HBEGF;ITGA4;METTL7A;NFIA;RCAN1"
"68";3,85;0,0788;"IRF1; LTF (directAnnotation). ";8;"AOAH;CD36;DNASE2;FGD2;HNMT;METTL7A;NCOA7;SIGLEC10"
"69";3,83;0,0786;"";11;"CD36;FABP5;FGD2;HNMT;ITGA4;KLF9;METTL7A;NCF4;NCOA7;PRAM1;RAD51C"
"70";3,83;0,0785;"";8;"FCGRT;MAT2A;NFIA;PRCP;PRKAG2-AS1;RAD51C;RNF141;YWHAH"
"71";3,83;0,0785;"";21;"ADAP2;AOAH;CD36;CD81;CTSA;DNASE2;FCGRT;FGL2;GRN;HRH2;ITGA4;ITM2B;KLF9;MARCH1;NFIA;P2RY13;PDCL3;RCAN1;RPN2;SAMHD1;TESC"
"72";3,81;0,0783;"RUNX1 (directAnnotation). ";8;"FGD2;HNMT;HPS3;HRH2;ITGA4;NCF4;NFIA;TSPAN4"
"73";3,79;0,0779;"SPI1 (directAnnotation). ";26;"ADAP2;AOAH;CD36;DNASE2;F13A1;FGD2;HLA-DMA;HNMT;IFNGR1;ITGA4;KCNK6;KLF9;LRRC25;LRRC75A;MARCH1;METTL7A;MPEG1;MS4A4A;NCF4;NFIA;PRAM1;RAD51C;RCAN1;SIGLEC10;SIGLEC12;TBXAS1"
"74";3,78;0,0779;"RELA (directAnnotation). ";11;"CD36;DNASE2;FGD2;HNMT;KCNK6;METTL7A;MPEG1;NCF4;NCOA7;SIGLEC12;TESC"
"75";3,78;0,0778;"IRF1 (directAnnotation). ";17;"ADAP2;AOAH;CD36;DNASE2;FGD2;FGL2;HAX1;HNMT;KCNK6;KLF9;MARCH1;METTL7A;MPEG1;NCOA7;NFIA;RCAN1;SIGLEC10"
