"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"152";3,37;0,112;"NFKB2 (directAnnotation). ";15;"ACSL1;CCL4;CCL4L2;FNDC3B;HIVEP2;ITGA5;MAML2;MAP4K4;MARCKS;NFKB1;OPTN;PDE4DIP;RAPGEF2;SDC4;TNIP1"
"153";3,36;0,112;"BACH1 (directAnnotation). ";17;"ABL2;CXCL8;ELOVL7;IL1B;IL1RN;ITGA5;ITGB8;KCNN4;LUCAT1;MIR155HG;MIR3945HG;PPARG;RAPGEF2;SPHK1;TNFAIP6;TNIP1;TNIP3"
"154";3,36;0,112;"REL; RELA; RELB (inferredBy_Orthology). ";8;"DRAM1;FFAR2;HIVEP2;ITGA5;MAP4K4;SDC4;TNIP1;TNIP3"
"155";3,35;0,112;"SPIB (directAnnotation). ";13;"BCL2A1;CCL3;CCL4;CCL4L2;CDKN1A;ECE1;MTF1;MYO1G;NFKB1;PLEK;STK26;TNFAIP8;TNIP1"
"156";3,34;0,111;"SPI1 (directAnnotation). ";19;"BCL2A1;CCL3;CCL3L1;CCL4;CCL4L2;CDKN1A;ECE1;FFAR2;IL1B;ITGA5;MIR155HG;MTF1;MYO1G;NFAT5;NFKB1;PLEK;STK26;TNFAIP8;TNIP1"
"157";3,33;0,111;"";16;"ABL2;ACOD1;BCL2A1;CCL3;CCL4;CCL4L2;CDKN1A;ECE1;FLT1;KCNJ2;MTF1;NFKB1;PTGS2;TNF;TNIP1;TNIP3"
"158";3,32;0,111;"NFKB2 (directAnnotation). ";13;"FFAR2;HIVEP2;ITGA5;LAMB3;MAML2;MAP4K4;MIR155HG;NFKB1;OPTN;PTGS2;SDC4;TNIP1;TNIP3"
"159";3,3;0,111;"";41;"ABL2;ACSL1;ADORA2A;AQP9;B4GALT5;CCL3;CCL3L1;CDC42EP3;CDKN1A;ECE1;EHD1;F3;FLNA;FLT1;HIVEP1;HIVEP2;IL1B;ITGB8;KCNJ2;KCNN4;LAMB3;LUCAT1;MAML2;MAP4K4;MEFV;MIR155HG;MIR3945HG;PDE4DIP;PNP;PPARG;RALGDS;RAPGEF2;RIN2;SIPA1L1;SPHK1;SRC;TNFAIP2;TNFAIP6;TNFAIP8;TNIP1;TRAF1"
"160";3,3;0,111;"STAT6 (directAnnotation). ";19;"BCL2A1;CCL3;CCL4;CCL4L2;CD44;CDC42EP3;CDKN1A;FFAR2;FLT1;FNDC3B;IL1B;ITGA5;MAML2;MIR155HG;NFKB1;PTGS2;TNF;TNIP1;TNIP3"
"161";3,3;0,111;"STAT6 (directAnnotation). ";19;"BCL2A1;CCL3;CCL4;CCL4L2;CD44;CDC42EP3;CDKN1A;FFAR2;FLT1;FNDC3B;IL1B;ITGA5;MAML2;MIR155HG;NFKB1;PTGS2;TNF;TNIP1;TNIP3"
"162";3,3;0,111;"";17;"CCL3;CDC42EP3;CYP1B1;FFAR2;FLNA;FLT1;GJB2;HIVEP1;HIVEP2;JAG1;LAMB3;MAP4K4;MARCKS;MIR155HG;OPTN;RIN2;RNF19B"
"163";3,29;0,11;"CEBPG (directAnnotation). ";39;"ABL2;ACSL1;AQP9;B4GALT5;CCL3;CCL3L1;CDC42EP3;DNAAF1;DRAM1;DUSP6;EHD1;FLNA;FNDC3B;GBP2;GJB2;HIVEP1;HIVEP2;IL1B;IL1RN;ITGA5;KCNJ2;MAML2;MAP4K4;MARCKS;MEFV;MIR155HG;MYO1G;NBN;NFAT5;NFKB1;PLEK;PNP;PPARG;PTGS2;RAPGEF2;STK26;TNF;TNFAIP6;TNFAIP8"
"164";3,26;0,11;"CEBPA (inferredBy_Orthology). ";53;"ABL2;ACSL1;AQP9;CCL3;CCL3L1;CCL4;CCL4L2;CDC42EP3;CXCL8;DENND5A;DNAAF1;DRAM1;DUSP6;EHD1;F3;FLNA;FLT1;FNDC3B;GCH1;GJB2;GPR84;HIVEP1;HIVEP2;IL1B;IL1RN;ITGA5;JAG1;KCNJ2;KCNN4;LAMB3;LIMK2;MAML2;MAP4K4;MARCKS;MEFV;MIR155HG;MYO1G;NABP1;NFAT5;NFKB1;OPTN;PDE4DIP;PLEK;PPARG;PTGS2;RAPGEF2;RNF19B;SDC4;SIPA1L1;STK26;TNFAIP6;TNFAIP8;ZC3H12C"
"165";3,26;0,11;"";41;"ABL2;ACSL1;AQP9;B4GALT5;BCL2A1;CCL3;CDC42EP3;CXCL8;FLNA;FLT1;HIVEP1;HIVEP2;HSPA5;IL1A;IL1RN;IRAK2;ITGA5;JAG1;KCNN4;LAMB3;LIMK2;LUCAT1;MAML2;MAP4K4;MARCKS;MIR3945HG;OPTN;PLEK;PPIF;RAPGEF2;RIN2;RNF19B;SERPINB2;SPHK1;SRC;STK26;TNFAIP6;TNFAIP8;TNIP1;TNIP3;TRAF1"
"166";3,25;0,11;"";40;"ABL2;ACSL1;AQP9;BCAT1;BCL2A1;CCL3;CDKN1A;CXCL8;FLNA;FLT1;FNDC3B;GK;HIVEP1;HIVEP2;HSPA5;IL1A;IL1B;IL1RN;IRAK2;ITGA5;JAG1;KCNN4;LAMB3;LUCAT1;MAML2;MAP4K4;MARCKS;PLEK;PPIF;RAPGEF2;RNF19B;SERPINB2;SPHK1;SRC;STK26;TNFAIP6;TNFAIP8;TNIP1;TNIP3;TRAF1"
"167";3,24;0,109;"";23;"ACSL1;AQP9;BCL2A1;CCL3;CCL3L1;DRAM1;DUSP6;EHD1;FLNA;GPR84;HIVEP2;IL1B;IL1RN;ITGA5;KYNU;MEFV;NFKB1;PLEK;PPARG;PTGS2;RAPGEF2;TNFAIP6;ZC3H12C"
"168";3,23;0,109;"MEIS3 (inferredBy_Orthology). ";18;"ABL2;CCL4;CCL4L2;FNDC3B;HIVEP1;IL1B;IL1RN;KCNN4;LIMK2;LUCAT1;NFAT5;PDE4DIP;PPARG;RALGDS;RAPGEF2;SERPINB2;TNIP1;TNIP3"
