"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"110";3,59;0,144;"TFCP2; TFCP2L1; UBP1 (inferredBy_Orthology). ";4;"FCGR2B;GPRC5A;KDM5B;LDHA"
"111";3,59;0,144;"";6;"ERO1A;FCGR2B;RRAD;SCD;SLC2A3;TNS1"
"112";3,59;0,143;"GATA2 (directAnnotation). ";3;"GPRC5A;P4HA1;SLC2A3"
"113";3,58;0,143;"";6;"BNIP3L;ERO1A;LDHA;P4HA1;RRAD;SCD"
"114";3,58;0,143;"";4;"BNIP3L;ERO1A;GPRC5A;LDHA"
"115";3,58;0,143;"";3;"CA2;P4HA1;RRAD"
"116";3,57;0,143;"TFAP2A (directAnnotation). ";4;"GPRC5A;SCD;SH2D3A;SLC2A3"
"117";3,57;0,143;"NFIX (directAnnotation). ";6;"CA2;KDM5B;LDHA;RRAD;SCD;TNS1"
"118";3,56;0,143;"NRF1 (directAnnotation). ";3;"BNIP3L;LDHA;P4HA1"
"119";3,56;0,143;"GTF2B; TBP; TBPL1; TBPL2 (inferredBy_Orthology). ";2;"CA2;SH2D3A"
"120";3,56;0,143;"";2;"CA2;P4HA1"
"121";3,56;0,142;"TBP (directAnnotation). ";4;"CA2;P4HA1;RRAD;SLC2A3"
"122";3,55;0,142;"";3;"BNIP3L;LDHA;P4HA1"
"123";3,55;0,142;"";3;"BNIP3L;ENO2;LDHA"
"124";3,55;0,142;"";3;"BNIP3L;ENO2;LDHA"
"125";3,54;0,142;"";3;"LDHA;SLC2A3;TNS1"
"126";3,54;0,142;"TBP (directAnnotation). ";4;"CA2;P4HA1;RRAD;SLC2A3"
"127";3,52;0,141;"XBP1 (inferredBy_Orthology). ";6;"BNIP3L;ERO1A;LDHA;P4HA1;RRAD;SCD"
"128";3,51;0,141;"GTF2F1 (directAnnotation). ";2;"CA2;P4HA1"
"129";3,51;0,141;"ARNT (directAnnotation). ";6;"BNIP3;BNIP3L;ENO2;ERO1A;LDHA;P4HA1"
"130";3,5;0,141;"NR2F1 (directAnnotation). ";3;"CA2;KDM5B;TNS1"
"131";3,5;0,141;"CTCF; CTCFL; REST; ZFP64 (inferredBy_Orthology). ";5;"BNIP3L;CA2;GPRC5A;LDHA;SCD"
"132";3,5;0,141;"XBP1 (inferredBy_Orthology). ";4;"BNIP3L;ERO1A;RRAD;SCD"
"133";3,5;0,141;"";7;"BNIP3L;CA2;LDHA;P4HA1;SCD;SLC2A3;TNS1"
"134";3,5;0,141;"EBF1 (directAnnotation). ";2;"SCD;TNS1"
"135";3,49;0,14;"MEOX2 (directAnnotation). ";3;"FCGR2B;SCD;TNS1"
"136";3,49;0,14;"";8;"BNIP3L;CA2;ERO1A;FCGR2B;GPRC5A;P4HA1;RRAD;SCD"
"137";3,49;0,14;"ESR1 (directAnnotation). ";3;"CA2;ENO2;TNS1"
"138";3,48;0,14;"GATA6 (inferredBy_Orthology). ";3;"GPRC5A;P4HA1;SLC2A3"
"139";3,48;0,14;"TFAP2A (directAnnotation). ";4;"GPRC5A;SCD;SH2D3A;SLC2A3"
"140";3,48;0,14;"MECOM (directAnnotation). ";3;"BNIP3L;SLC2A3;TNS1"
"141";3,48;0,14;"";2;"CA2;P4HA1"
