"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"11";7,71;0,0917;"ETS2 (directAnnotation). ";81;"ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BLOC1S1;BTF3;C17orf49;CCDC85B;CCT7;CIB1;COMMD6;CORO1B;COX14;COX5B;DCTN3;DDT;EEF1B2;EIF3D;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LIMD2;LSM3;LSM4;LSM5;MGMT;MGST3;MRPL3;MRPL40;MRPS21;MRPS34;NAA10;NACA;NDUFA13;NDUFB5;NDUFS3;NDUFV1;NME1;NME2;NSA2;NUDT1;PARK7;PARL;PHB2;PKN1;PSMB1;PTRHD1;RACK1;RCSD1;RNASEH2B;SEC11A;SLIRP;SMIM19;SNRPD1;SNRPD2;SNRPE;SNU13;SNX17;SPINT2;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UFC1;UQCRH;UQCRQ;WDR83OS"
"12";7,64;0,0911;"TAF1 (directAnnotation). ";90;"ABRACL;ANAPC11;ANAPC16;AP2S1;ARPC1B;ARPC3;ATP6V0E1;BANF1;C17orf49;CCDC85B;CCT7;CIB1;CLTA;CMC1;COMMD6;COX14;COX4I1;COX5B;DBNL;DDT;EEF1B2;EIF3D;EIF3G;EIF3K;EIF3M;ERH;FIS1;GTF2A2;HINT1;LEPROTL1;LIMD2;LSM3;LSM5;MDH1;MGMT;MGST3;MRPL3;MRPL57;MRPS21;MRPS34;NAA10;NACA;NDUFA13;NDUFB3;NDUFB5;NDUFB7;NDUFS3;NDUFS7;NDUFV1;NME1;NSA2;PARK7;PHB2;PKN1;POLR1D;POLR2G;PSMA5;PSMB1;PSMC5;PTRHD1;RACK1;RCSD1;RGS19;RNASEH2B;RNF7;SEC11A;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPE;SNU13;SPINT2;SUPT4H1;TIMM10;TMEM230;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UCP2;UFC1;UQCRH;UQCRQ;WDR83OS;YIF1B;ZNF593"
"13";7,59;0,0905;"GABPA (inferredBy_Orthology). ";79;"ABI3;ANAPC11;ARHGDIB;ARPC1B;ARPC3;BANF1;BTF3;C17orf49;C20orf27;CCDC85B;CCT7;CIB1;COMMD6;CORO1B;COX14;COX5B;DBNL;DCTN3;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GLRX;GTF2A2;GTF3A;HINT1;JTB;LEPROTL1;LIMD2;LSM4;LSM5;LST1;MRPL3;MRPL40;MRPS21;NACA;NDUFA13;NDUFB5;NDUFS3;NME1;NME2;NSA2;NUDT1;PHB2;PKN1;PSMB1;PSMC5;RAB32;RACK1;RCSD1;RGS19;RNF7;SCIMP;SDHB;SEC11A;SNHG6;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM256;TOMM5;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UCP2;UFC1;UQCRH;UQCRQ;WDR83OS"
"14";7,59;0,0905;"ELK1 (directAnnotation). ";75;"ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BTF3;C17orf49;C20orf27;CCDC85B;CCT7;CIB1;CORO1B;COX5B;DCTN3;DDT;EEF1B2;EIF3D;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LIMD2;LSM4;LSM5;LST1;MGMT;MRPL3;MRPL40;MRPS21;MRPS34;NACA;NDUFA13;NDUFB3;NDUFB5;NDUFB8;NDUFS3;NME1;NME2;NSA2;NUDT1;PARK7;PHB2;PKN1;PSMB1;PTRHD1;RACK1;RCSD1;SDHB;SEC11A;SMIM19;SNHG6;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TMEM219;TMEM230;TMEM256;TMEM59;TOMM5;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS"
"15";7,57;0,0904;"GABPA (inferredBy_Orthology). ";80;"ADI1;ANAPC11;AP2S1;ARHGDIB;ARPC3;BANF1;BTF3;C17orf49;CAMK1;CCT7;CIB1;CLTA;COX14;COX4I1;COX5B;COX7A2L;CUTA;DAD1;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GTF2A2;HCST;HINT1;LEPROTL1;LIMD2;LSM3;LSM4;LSM5;MDH1;MGST3;MRPL3;MRPS21;MRPS34;NACA;NDUFA13;NDUFB11;NDUFB3;NDUFB5;NDUFS3;NME1;NSA2;PARK7;PHB2;PKN1;PSMB1;PSMC5;RACK1;RCSD1;RGS19;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UFC1;UQCRH;UQCRQ;WDR83OS"
"16";7,56;0,0902;"GABPA (directAnnotation). ";96;"ABRACL;ADI1;ANAPC11;ANAPC16;AP2S1;ARHGDIB;ARPC1B;ARPC3;ATP6V0E1;BANF1;BTF3;C17orf49;CCT7;CIB1;CLTB;COMMD6;COX14;COX4I1;COX5B;CUTA;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LIMD2;LSM3;LSM4;LSM5;LST1;MGST3;MRPL3;MRPL40;MRPL57;MRPS21;MRPS34;NACA;NDUFA1;NDUFA13;NDUFB3;NDUFB5;NDUFB7;NDUFS3;NEDD8;NME1;NSA2;NUDT1;PARK7;PARL;PHB2;PKN1;POLD4;PSMA5;PSMB1;PSMC5;RACK1;RCSD1;RNASEH2B;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCR11;UQCRH;UQCRQ;UXT;WDR83OS;ZNF593"
"17";7,55;0,0901;"ELK4 (directAnnotation). ";87;"ABI3;ANAPC11;AP2S1;APBB1IP;ARHGDIB;ARPC1B;ARPC3;ATP6V0E1;BANF1;BTF3;C17orf49;C1QBP;CCDC85B;CCT7;CIB1;COMMD6;CORO1B;COX5B;CUTA;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;LEPROTL1;LIMD2;LSM3;LSM4;LSM5;MGST3;MRPL3;MRPS21;MRPS34;NACA;NDUFA12;NDUFA13;NDUFB3;NDUFB5;NDUFB7;NDUFB8;NDUFS3;NME1;NME2;NSA2;NT5C;NUDT1;PARK7;PARL;PHB2;PKN1;POLR2G;PSMB1;RACK1;RCSD1;RGS19;RNASEH2B;SARAF;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPE;SNU13;SPINT2;SUPT4H1;TIMM10;TMEM230;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS"
"18";7,53;0,0899;"GABPA (directAnnotation). ";103;"ABRACL;ANAPC11;ANAPC16;AP2S1;ARPC1B;ARPC3;BANF1;BTF3;C17orf49;C1QBP;CCT7;CIB1;CMC1;CNPY3;COMMD6;COX14;COX4I1;COX5B;CUTA;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3G;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LAMTOR4;LEPROTL1;LIMD2;LSM3;LSM5;MDH1;MGMT;MGST3;MRPL21;MRPL3;MRPL40;MRPL57;MRPS21;MRPS34;NAA10;NACA;NDUFA1;NDUFA13;NDUFB3;NDUFB5;NDUFB7;NDUFS3;NEDD8;NME1;NSA2;NUDT1;PARK7;PARL;PHB2;PKN1;POLR1D;POLR2G;PSMA5;PSMB1;PSMC5;PTRHD1;RAB20;RACK1;RCSD1;RGS19;RNASEH2B;RNF7;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCR11;UQCRH;UQCRQ;UXT;WDR83OS;ZNF593"
"19";7,53;0,0899;"ELK3 (directAnnotation). ";93;"ADI1;ANAPC11;AP2S1;ARPC1B;ARPC3;BANF1;BLOC1S1;BTF3;C17orf49;CCDC85B;CCT7;CHURC1;CIB1;CLTA;COMMD6;COX14;COX4I1;COX5B;COX7A2L;DAD1;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3G;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LIMD2;LSM3;LSM5;MDH1;MGMT;MGST3;MRPL3;MRPL40;MRPS21;MRPS34;NAA10;NDUFA13;NDUFB3;NDUFB5;NDUFS3;NDUFV1;NME1;NSA2;NUDT1;PARK7;PHB2;PKN1;PSMA5;PSMB1;PSMC5;PTRHD1;RAB20;RACK1;RCSD1;RGS19;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPD2;SNRPE;SNU13;SNX17;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS;YIF1B"
"20";7,52;0,0898;"ELK1 (inferredBy_Orthology). ";83;"ABI3;ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BTF3;C17orf49;C20orf27;CCDC85B;CCT7;CIB1;CORO1B;COX5B;DCTN3;DDT;EEF1B2;EIF3D;EIF3K;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LIMD2;LSM4;LSM5;LST1;MGMT;MGST3;MRPL3;MRPS21;MRPS34;NACA;NDUFA13;NDUFB3;NDUFB5;NDUFB8;NDUFS3;NME1;NME2;NSA2;NUDT1;PARK7;PARL;PHB2;PKN1;PSMB1;PSMC5;PTRHD1;RAB32;RACK1;RCSD1;SAP30;SDHB;SEC11A;SLIRP;SMIM19;SNHG6;SNRPD2;SNRPE;SNU13;SPINT2;SUPT4H1;TIMM10;TMEM219;TMEM230;TMEM256;TMEM59;TOMM5;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS"
"21";7,52;0,0898;"ETV4 (inferredBy_Orthology). ";89;"ACAA1;ADI1;ANAPC11;AP2S1;ARHGDIB;ARPC3;BANF1;BTF3;C17orf49;CCT7;CIB1;CLTA;COMMD6;CORO1B;COX14;COX4I1;COX5B;COX7A2L;DAD1;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HCST;HINT1;LEPROTL1;LIMD2;LSM3;LSM4;LSM5;LST1;MDH1;MGMT;MGST3;MRPL3;MRPS21;MRPS34;NACA;NDUFA13;NDUFB3;NDUFB5;NDUFS3;NME1;NME2;NSA2;PARK7;PHB2;PKN1;PSMA5;PSMB1;PSMC5;PTRHD1;RACK1;RCSD1;RGS19;SAP30;SDHB;SEC11A;SLIRP;SMIM19;SNHG6;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UCP2;UFC1;UQCRH;UQCRQ;WDR83OS;YIF1B"
