"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"24";4,1;0,074;"PRDM1 (directAnnotation). ";7;"CD36;ITGA4;MARCH1;MEGF9;NFIA;P2RY13;TBXAS1"
"25";4,08;0,0739;"SPI1 (directAnnotation). ";7;"CD36;DNASE2;GRN;HRH2;KLF9;MAN2B1;MPEG1"
"26";4,01;0,0729;"OVOL1 (directAnnotation). ";6;"AKR1A1;CD36;KLF9;LRRC75A;NFIA;RCAN1"
"27";3,99;0,0727;"MSGN1 (inferredBy_Orthology). ";8;"CD36;CHCHD10;FGD2;ITM2B;KLF9;MARCH1;MEGF9;RCAN1"
"28";3,99;0,0727;"";11;"AVPI1;GABARAPL1;IFNGR1;KCNK6;KLF9;NCOA7;NFIA;RAD51C;RCAN1;RNF141;YWHAH"
"29";3,98;0,0725;"IRF4; SPI1 (directAnnotation). ";25;"AKR1A1;AVPI1;CD302;CD36;DNASE2;FGD2;GRN;HBEGF;HNMT;HRH2;IFNGR1;ITGA4;ITM2B;KLF9;MARCH1;METTL7A;MPEG1;NCF4;NCOA7;P2RY13;RCAN1;SIGLEC10;SIGLEC12;TBXAS1;TMEM170B"
"30";3,97;0,0724;"PRDM1 (directAnnotation). ";7;"CD36;ITGA4;MARCH1;MEGF9;NFIA;P2RY13;TBXAS1"
"31";3,97;0,0724;"ATF4 (directAnnotation). ";7;"ITM2B;KLF9;MARCH1;MEGF9;PRKAG2-AS1;RAD51C;YWHAH"
"32";3,97;0,0724;"PRDM1 (directAnnotation). ";11;"CD36;DRAM2;FGL2;ITGA4;MARCH1;MAT2A;MEGF9;NCOA7;NFIA;P2RY13;TBXAS1"
"33";3,95;0,0721;"SPIB (directAnnotation). ";26;"AKR1A1;AVPI1;CD302;CD36;F13A1;FGD2;GRN;HNMT;HRH2;IFNGR1;ITM2B;LRRC25;MAN2B1;MARCH1;MAT2A;MGST2;MPEG1;NCF4;NCOA7;NFIA;NPC2;P2RY13;PRKAG2-AS1;RCAN1;RNF141;SIGLEC12"
"34";3,94;0,0721;"";6;"DRAM2;KCNK6;MAT2A;MGST2;NFIA;TBXAS1"
"35";3,91;0,0716;"";5;"CD36;LRRC25;MAT2A;NCF4;RCAN1"
"36";3,9;0,0715;"MAX (directAnnotation). ";9;"CTSA;HRH2;KLF9;LRRC75A;MAT2A;NCOA7;NFIA;TIMP2;TSPAN4"
"37";3,87;0,0711;"";20;"ADAP2;AOAH;C1orf56;CTSA;CTSD;FCGRT;HNMT;ITGA4;LRRC25;MARCH1;NCOA7;NPC2;PPT1;SIGLEC10;SIGLEC12;TESC;TIMP2;TMEM176A;TMEM176B;YWHAH"
"38";3,83;0,0706;"GMEB2 (directAnnotation). ";7;"KCNK6;KLF9;MAT2A;NCOA7;NFIA;RNF141;TSPAN4"
"39";3,83;0,0706;"";7;"HBEGF;ITM2B;KCNK6;KLF9;MARCH1;NFIA;RCAN1"
"40";3,78;0,07;"STAT5B (directAnnotation). ";11;"CD36;DRAM2;ECHDC3;KCNK6;KLF9;MPEG1;NCOA7;P2RY13;PRCP;TIMP2;TSPAN4"
"41";3,78;0,0699;"MLXIPL (directAnnotation). ";14;"AKR1A1;AVPI1;CTSA;FGD2;GRN;HBEGF;HPS3;HRH2;KLF9;MAT2A;NFIA;PRKAG2-AS1;RCAN1;TIMP2"
"42";3,77;0,0699;"GMEB2 (directAnnotation). ";19;"AVPI1;CD302;CD36;HRH2;IFNGR1;ITGA4;ITM2B;KCNK6;KLF9;MARCH1;MAT2A;MEGF9;NCOA7;NFIA;RAD51C;RCAN1;RNF141;TMEM170B;YWHAH"
"43";3,77;0,0699;"GMEB2 (directAnnotation). ";19;"AVPI1;CD302;CD36;HRH2;IFNGR1;ITGA4;ITM2B;KCNK6;KLF9;MARCH1;MAT2A;MEGF9;NCOA7;NFIA;RAD51C;RCAN1;RNF141;TMEM170B;YWHAH"
"44";3,75;0,0695;"STAT5A (directAnnotation). ";6;"CD36;DRAM2;ECHDC3;KLF9;P2RY13;TIMP2"
"45";3,72;0,0692;"ELK1; POU2F1 (directAnnotation). ";10;"ADAP2;ITM2B;KLF9;MARCH1;MEGF9;MPEG1;NCF4;NCOA7;NFIA;P2RY13"
"46";3,7;0,0689;"MLXIPL (directAnnotation). ";19;"AKR1A1;AVPI1;CTSA;DRAM2;FGD2;GRN;HBEGF;HPS3;HRH2;KLF9;MARCH1;MAT2A;MEGF9;NCF4;NCOA7;NFIA;PRKAG2-AS1;RCAN1;TIMP2"
"47";3,68;0,0687;"GTF2B; TBP; TBPL1; TBPL2 (inferredBy_Orthology). ";9;"AVPI1;CTSD;GRN;HAX1;MEGF9;NCF4;NFIA;TBXAS1;TSPAN4"
"48";3,68;0,0686;"SPDEF (directAnnotation). ";15;"AKR1A1;CD36;CTSD;FABP5;GRN;HNMT;HRH2;MARCH1;MGST2;NCOA7;PRKAG2-AS1;RCAN1;RPN2;TMEM176B;TSPAN4"
"49";3,68;0,0686;"MYCN (directAnnotation). ";5;"CTSA;LRRC75A;MAT2A;NFIA;TSPAN4"
"50";3,67;0,0685;"";17;"AVPI1;CD36;GABARAPL1;IFNGR1;KCNK6;KLF9;MAT2A;MEGF9;NCOA7;NFIA;PRKAG2-AS1;RAD51C;RCAN1;RNF141;TBXAS1;TMEM170B;YWHAH"
"51";3,65;0,0683;"USF1 (directAnnotation). ";6;"ATOX1;CTSA;GRN;HRH2;KLF9;NFIA"
"52";3,64;0,0682;"";23;"AVPI1;CD36;CPVL;DRAM2;F13A1;FABP5;FGD2;FGL2;GABARAPL1;GRN;HNMT;HPS3;IFNGR1;ITM2B;KLF9;MARCH1;MEGF9;NCF4;NCOA7;NFIA;RNF130;RNF141;TMEM170B"
"53";3,63;0,0681;"ZSCAN31 (directAnnotation). ";18;"AKR1A1;AVPI1;CD36;CD81;DRAM2;FCGRT;GABARAPL1;KCNK6;KLF9;LRRC75A;MEGF9;MIS18BP1;MS4A4A;NCF4;RCAN1;RNF141;TBXAS1;TSPAN4"
"54";3,59;0,0676;"SPI1 (directAnnotation). ";23;"CD302;CD36;DRAM2;FGD2;GRN;HNMT;HRH2;IFNGR1;ITGA4;ITM2B;MAN2B1;MARCH1;MGST2;MPEG1;NCF4;NCOA7;NFIA;P2RY13;RCAN1;RNF130;RNF141;SIGLEC10;SIGLEC12"
"55";3,59;0,0675;"";23;"ADAP2;AOAH;C1orf56;CD81;CTSA;CTSD;ECHDC3;FCGRT;HNMT;ITGA4;KCNK6;LRRC25;LRRC75A;MAN2B1;MAT2A;NCOA7;NPC2;PPT1;SIGLEC10;SIGLEC12;TESC;TIMP2;YWHAH"
