"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"96";3,6;0,0847;"";16;"CALM2;CD37;CFP;CSTA;DYNLT1;IFI16;IFITM2;JDP2;KRT10;NKG7;NRG1;PSMB8;TKT;TNFSF13B;VAMP5;ZNHIT1"
"97";3,6;0,0847;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"98";3,6;0,0846;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"99";3,59;0,0846;"CEBPB (directAnnotation). ";12;"ASGR1;C1orf162;CFP;COTL1;CSTA;GLIPR1;HSBP1;IFI16;JDP2;KRT10;TNFSF13B;VAMP5"
"100";3,59;0,0846;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"101";3,59;0,0845;"IRF7 (directAnnotation). ";10;"CSTA;DYNLT1;GLIPR1;IFI16;KRT10;NDUFC2;PSMB8;TNFSF13B;VAMP5;ZNHIT1"
"102";3,59;0,0845;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"103";3,59;0,0845;"SPIB (directAnnotation). ";14;"ASGR1;C1orf162;CALM2;CD37;CFP;CSTA;EVI2B;FBP1;LY96;NRG1;PSMB8;SLC7A7;TRMT1;ZNHIT1"
"104";3,58;0,0843;"SP5 (inferredBy_Orthology). ";8;"BLVRB;CLIC1;DYNLT1;HMGB2;MYL12A;TKT;VAMP5;VPS29"
"105";3,58;0,0843;"IRF5 (directAnnotation). ";8;"DYNLT1;IFI16;IFITM2;PSMB8;TKT;TNFSF13B;VAMP5;ZNHIT1"
"106";3,57;0,0842;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"107";3,57;0,0841;"NR1I2 (directAnnotation). ";9;"ASGR1;C3AR1;CPPED1;FBP1;HMGB2;JDP2;NKG7;PHC2;SLC7A7"
"108";3,57;0,0841;"PAX4 (inferredBy_Orthology). ";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"109";3,55;0,0839;"STAT1 (directAnnotation). ";7;"CALM2;DYNLT1;IFI16;PSMB8;TNFSF13B;VAMP5;ZNHIT1"
"110";3,54;0,0838;"STAT2 (directAnnotation). ";17;"C3AR1;CALM2;CFP;COX7A2;DYNLT1;GLIPR1;IFI16;IFITM2;JDP2;MNDA;NRG1;PLBD1;PSMA2;PSMB8;TNFSF13B;VAMP5;ZNHIT1"
"111";3,54;0,0838;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"112";3,54;0,0837;"ZNF552 (directAnnotation). ";12;"CALM2;CFP;CPPED1;EVI2B;FKBP1A;IFI16;MNDA;PHC2;PLBD1;PSMB6;PSMB8;PSMB9"
"113";3,54;0,0837;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"114";3,54;0,0837;"PAX4 (directAnnotation). ";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"115";3,53;0,0835;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"116";3,53;0,0835;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"117";3,53;0,0835;"CEBPG (directAnnotation). ";4;"COTL1;JDP2;KRT10;TNFSF13B"
"118";3,52;0,0834;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"119";3,52;0,0833;"CEBPG (directAnnotation). ";6;"ASGR1;COTL1;HMGB2;JDP2;KRT10;TNFSF13B"
"120";3,52;0,0833;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"121";3,52;0,0833;"REST (inferredBy_Orthology). ";10;"CD37;CKLF;HSBP1;JDP2;KRT10;NRG1;PSMB9;SLC7A7;TALDO1;VAMP5"
"122";3,51;0,0833;"";6;"CALM2;CFP;EVI2B;PSMB6;PSMB8;PSMB9"
"123";3,5;0,083;"REST (directAnnotation). ";6;"CD37;COX7A2;JDP2;KRT10;NRG1;PSMB9"
"124";3,49;0,0829;"";7;"CALM2;CFP;EVI2B;FKBP1A;PSMB6;PSMB8;PSMB9"
"125";3,47;0,0825;"SP5 (directAnnotation). ";8;"BLVRB;CLIC1;DYNLT1;HMGB2;MYL12A;TKT;VAMP5;VPS29"
"126";3,47;0,0824;"ATF4 (directAnnotation). ";5;"C1orf162;CALM2;CSTA;HMGB2;JDP2"
"127";3,46;0,0824;"";14;"C1orf162;CALM2;CD37;CFP;COX7A2;CSTA;FBP1;JDP2;NKG7;NRG1;PHC2;TNFSF13B;TRMT1;ZNHIT1"
"128";3,46;0,0824;"SRF (inferredBy_Orthology). ";7;"ASGR1;GLIPR1;HMGB2;MSRB2;MYL12A;PHC2;TRAPPC5"
"129";3,46;0,0823;"ZNF574 (inferredBy_Orthology). ";7;"CALM2;CFP;EVI2B;HMGB2;PSMB6;PSMB8;PSMB9"
"130";3,46;0,0823;"ZNF574 (directAnnotation). ";7;"CALM2;CFP;EVI2B;HMGB2;PSMB6;PSMB8;PSMB9"
"131";3,46;0,0822;"SP8 (directAnnotation). ";8;"BLVRB;CLIC1;DYNLT1;HMGB2;MYL12A;TKT;VAMP5;VPS29"
"132";3,45;0,0822;"RARA (inferredBy_Orthology). ";4;"BLVRB;JDP2;NRG1;TKT"
"133";3,45;0,0822;"ZBTB32 (directAnnotation). ";7;"CALM2;CFP;EVI2B;NRG1;PSMB6;PSMB8;PSMB9"
"134";3,44;0,0821;"";7;"CALM2;CFP;EVI2B;FKBP1A;PSMB6;PSMB8;PSMB9"
"135";3,44;0,0821;"SPI1 (directAnnotation). ";12;"C1orf162;C3AR1;CALM2;CD37;CFP;EVI2B;GMFG;MNDA;NRG1;SLC7A7;TNFSF13B;ZNHIT1"
"136";3,44;0,0821;"CRX; NFIA; NFIC; RAX (directAnnotation). ";6;"BAX;C1orf162;CFP;LY96;NRG1;SLC7A7"
"137";3,44;0,082;"";7;"CALM2;CFP;EVI2B;FKBP1A;PSMB6;PSMB8;PSMB9"
"138";3,44;0,0819;"ZNF274 (directAnnotation). ";10;"CALM2;CFP;EVI2B;FKBP1A;IFI16;MNDA;PSMB6;PSMB8;PSMB9;ZNHIT1"
"139";3,43;0,0818;"ZNF197 (directAnnotation). ";7;"CALM2;CFP;EVI2B;FKBP1A;PSMB6;PSMB8;PSMB9"
"140";3,43;0,0817;"";6;"ASGR1;C3AR1;IFI16;MNDA;SH3BGRL3;SLC7A7"
"141";3,42;0,0817;"ZNF250 (inferredBy_Orthology). ";7;"CALM2;CFP;EVI2B;FKBP1A;PSMB6;PSMB8;PSMB9"
"142";3,42;0,0817;"";7;"CALM2;CFP;EVI2B;FKBP1A;PSMB6;PSMB8;PSMB9"
