"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"137";3,11;0,168;"BORCS8-MEF2B; MEF2A; MEF2B; MEF2C; MEF2D (inferredBy_Orthology). ";18;"ADA;ARID3A;BCL11A;CCDC71L;EIF4E;FSTL3;IL10;LPXN;MAFF;MMP19;NFATC1;NR4A3;PRDM1;RASGRP3;REV3L;SFMBT2;UBASH3B;ZSCAN5A"
"138";3,1;0,168;"ZNF513 (inferredBy_Orthology). ";10;"ARID3A;BCL11A;GFOD1;IL10;LPXN;NFATC1;REV3L;SFMBT2;TIPARP;UBASH3B"
"139";3,1;0,168;"POLR2A (directAnnotation). ";17;"ADA;ARID3A;BCL11A;CDK1;DUSP2;EREG;FSTL3;GFOD1;INSIG1;LPXN;NFATC1;NR4A3;PRDM1;RBBP8;REV3L;SLC16A6;UBASH3B"
"140";3,1;0,168;"ZNF689 (directAnnotation). ";8;"ARID3A;DUSP2;GFOD1;NFKBID;PRDM1;SFMBT2;SLC16A6;TIPARP"
"141";3,1;0,168;"POU5F1; POU5F1B (inferredBy_Orthology). ";7;"ARID3A;BCL11A;IL10;NFATC1;PRDM1;REV3L;SLC16A6"
"142";3,1;0,168;"";12;"EREG;GFOD1;KDM6B;NFATC1;NFKBID;NR4A3;PRDM1;PRDM8;RASGRP3;SFMBT2;TFPI;UBASH3B"
"143";3,09;0,167;"TBP (directAnnotation). ";12;"ARID3A;CCDC71L;DUSP2;EREG;FSTL3;INSIG1;MMP19;NFATC1;NFKBID;NR4A3;RASGRP3;REV3L"
"144";3,09;0,167;"";7;"ADA;ARID3A;MAFF;NFATC1;NFKBID;REV3L;UBASH3B"
"145";3,08;0,167;"SP100 (inferredBy_Orthology). ";8;"ADA;ARID3A;BCL11A;FSTL3;INSIG1;NFATC1;REV3L;UBASH3B"
"146";3,08;0,167;"HOXA13 (inferredBy_Orthology). ";14;"ADA;ARID3A;BCL11A;CCDC71L;DUSP2;EREG;FSTL3;INSIG1;MAFF;NFATC1;NFKBID;RAB7B;REV3L;UBASH3B"
"147";3,08;0,167;"CDX1; CDX2; CDX4 (inferredBy_Orthology). ";24;"ADA;ARID3A;BCL11A;CDK1;CHST7;DUSP2;FSTL3;GFOD1;IL10;INSIG1;LPXN;MAFF;NFATC1;NR4A3;PHLDB1;PRDM1;PRDM8;RAB7B;RBBP8;REV3L;SFMBT2;TIPARP;TPRA1;UBASH3B"
"148";3,08;0,167;"";10;"EREG;KDM6B;NFATC1;NFKBID;NR4A3;PRDM1;RASGRP3;SFMBT2;TFPI;UBASH3B"
"149";3,07;0,167;"HOXA3 (directAnnotation). ";9;"ADA;ARID3A;BCL11A;DUSP2;FSTL3;INSIG1;NFATC1;REV3L;UBASH3B"
"150";3,07;0,167;"ILF2; NFATC1; NFATC2; NFATC3; NFATC4 (directAnnotation). ";7;"KDM6B;NR4A3;PRDM1;RAB7B;RASGRP3;TFPI;UBASH3B"
"151";3,07;0,167;"TAF7; TBP (directAnnotation). ";13;"ARID3A;BCL11A;CCDC71L;EREG;FSTL3;GFOD1;INSIG1;MAFF;MMP19;NFATC1;NFKBID;REV3L;SFMBT2"
"152";3,06;0,166;"JUNB (inferredBy_Orthology). ";20;"ADA;ARID3A;BCL11A;CHST7;DUSP2;EREG;FSTL3;INSIG1;LPXN;MAFF;NFATC1;NFKBID;NR4A3;OLR1;PRDM1;RBBP8;REV3L;SLC16A6;TIPARP;UBASH3B"
"153";3,06;0,166;"";8;"ARID3A;BCL11A;INSIG1;MAFF;NFATC1;OLR1;REV3L;UBASH3B"
"154";3,06;0,166;"";4;"BCL11A;INSIG1;NFATC1;NR4A3"
"155";3,06;0,166;"IRX3 (inferredBy_Orthology). ";8;"ADA;ARID3A;BCL11A;DUSP2;FSTL3;INSIG1;NFATC1;REV3L"
"156";3,06;0,166;"";8;"ARID3A;BCL11A;DUSP2;FSTL3;MAFF;NFATC1;REV3L;UBASH3B"
"157";3,06;0,166;"";10;"ADA;ARID3A;BCL11A;FSTL3;INSIG1;MAFF;NFATC1;NR4A3;REV3L;UBASH3B"
"158";3,06;0,166;"POU4F3 (inferredBy_Orthology). ";10;"ADA;ARID3A;BCL11A;FSTL3;INSIG1;MAFF;NFATC1;NR4A3;REV3L;UBASH3B"
"159";3,05;0,166;"";18;"ADA;ARID3A;BCL11A;CCDC71L;DUSP2;FSTL3;GFOD1;IL10;INSIG1;LPXN;MAFF;NFATC1;NFKBID;PRDM1;PRDM8;REV3L;SFMBT2;UBASH3B"
"160";3,05;0,166;"HOXA2 (directAnnotation). ";9;"ADA;ARID3A;BCL11A;DUSP2;FSTL3;INSIG1;NFATC1;REV3L;UBASH3B"
"161";3,05;0,166;"HMBOX1 (inferredBy_Orthology). ";8;"ADA;ARID3A;BCL11A;DUSP2;FSTL3;NFATC1;REV3L;UBASH3B"
"162";3,04;0,166;"";9;"ARID3A;BCL11A;EREG;LPXN;NFATC1;OLR1;REV3L;SFMBT2;UBASH3B"
"163";3,04;0,166;"MEIS1 (directAnnotation). ";10;"ARID3A;GFOD1;MAFF;NFATC1;NR4A3;PRDM8;REV3L;SFMBT2;TIPARP;UBASH3B"
"164";3,04;0,166;"";8;"ADA;ARID3A;BCL11A;FSTL3;INSIG1;NFATC1;REV3L;UBASH3B"
