"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"136";3,33;0,161;"OTX1 (directAnnotation). ";6;"BNIP3L;CA2;ENO2;GPRC5A;SCD;TNS1"
"137";3,33;0,161;"POLR2A; TAF1; TBP (directAnnotation). ";7;"CA2;GPRC5A;KDM5B;P4HA1;SCD;SLC2A3;TNS1"
"138";3,32;0,161;"ZNF229; ZNF319 (inferredBy_Orthology). ";4;"BNIP3L;GPRC5A;KDM5B;TNS1"
"139";3,32;0,161;"ZNF683 (inferredBy_Orthology). ";6;"BNIP3L;FCGR2B;GPRC5A;SCD;SH2D3A;TNS1"
"140";3,32;0,161;"GATA1; GATA2; GATA3; GATA4; GATA5; GATA6; TRPS1 (inferredBy_Orthology). ";6;"BNIP3L;CA2;KDM5B;SH2D3A;SLC2A3;TNS1"
"141";3,32;0,161;"ZNF615 (directAnnotation). ";3;"BNIP3L;CA2;ENO2"
"142";3,31;0,16;"";7;"BNIP3;ENO2;FCGR2B;KDM5B;P4HA1;SCD;TNS1"
"143";3,3;0,16;"";3;"BNIP3;CA2;TNS1"
"144";3,3;0,16;"";5;"FCGR2B;GPRC5A;P4HA1;SCD;TNS1"
"145";3,3;0,16;"NFKB2 (directAnnotation). ";3;"ENO2;RRAD;TNS1"
"146";3,3;0,16;"";2;"CA2;TNS1"
"147";3,3;0,16;"HSFY1 (directAnnotation). ";4;"BNIP3L;GPRC5A;KDM5B;LDHA"
"148";3,29;0,16;"";7;"ENO2;GPRC5A;KDM5B;LDHA;P4HA1;SCD;TNS1"
"149";3,28;0,159;"HCFC2 (directAnnotation). ";3;"GPRC5A;KDM5B;TNS1"
"150";3,28;0,159;"";3;"BNIP3L;KDM5B;TNS1"
"151";3,28;0,159;"STAT5A (directAnnotation). ";3;"BNIP3L;KDM5B;TNS1"
"152";3,28;0,159;"ATF2; JUN (directAnnotation). ";5;"BNIP3L;GPRC5A;KDM5B;LDHA;TNS1"
"153";3,28;0,159;"PITX1; TEAD4 (directAnnotation). ";2;"CA2;TNS1"
"154";3,28;0,159;"CREB1 (directAnnotation). ";3;"BNIP3L;GPRC5A;LDHA"
"155";3,27;0,159;"";3;"CA2;ENO2;TNS1"
"156";3,27;0,159;"MAZ (directAnnotation). ";4;"ENO2;KDM5B;SH2D3A;TNS1"
"157";3,27;0,159;"NFKB1; OVOL2; RELA (directAnnotation). ";2;"ENO2;SCD"
"158";3,27;0,159;"CREB3 (directAnnotation). ";3;"KDM5B;P4HA1;TNS1"
"159";3,27;0,159;"";3;"BNIP3L;SCD;TNS1"
"160";3,27;0,159;"";3;"GPRC5A;P4HA1;TNS1"
"161";3,27;0,159;"GATA1; GATA2; GATA3; GATA4; GATA5; GATA6; TRPS1 (inferredBy_Orthology). ";7;"BNIP3L;CA2;KDM5B;P4HA1;SCD;SLC2A3;TNS1"
