"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"26";4,94;0,14;"PRDM1 (inferredBy_Orthology). ";15;"C1orf61;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;EDN1;GATA2;IDO1;INHBA;ISG15;MET;P2RX7;RSAD2;TNFSF15"
"27";4,84;0,138;"RELA (directAnnotation). ";12;"CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;STEAP4;TNFSF15"
"28";4,82;0,138;"STAT1; STAT2 (directAnnotation). ";24;"ARID5B;C1orf61;C2CD4B;CCL5;CD274;CNKSR3;CRIM1;CXCL5;EDN1;EMP1;GATA2;HYDIN;IDO1;ISG15;MET;P2RX7;PLOD2;RSAD2;SDC2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"29";4,82;0,138;"RELA (directAnnotation). ";11;"CCL5;CSF3;CXCL1;CXCL5;DLL1;IL36G;LINC01366;MSANTD3;NEURL3;STEAP4;TNFSF15"
"30";4,79;0,137;"RELA (directAnnotation). ";12;"CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;STEAP4;TNFSF15"
"31";4,75;0,136;"RELA (directAnnotation). ";11;"CCL5;CSF3;CXCL1;CXCL5;DLL1;IL36G;LINC01366;MSANTD3;NEURL3;STEAP4;TNFSF15"
"32";4,71;0,135;"CEBPB (directAnnotation). ";15;"AK4;ARID5B;CCL18;CSF3;DEFB1;GATA2;INHBA;MMP1;NDRG1;PDSS1;PTGIR;SLC1A2;SLC7A11;STEAP4;TNFSF15"
"33";4,68;0,135;"NFKB2 (directAnnotation). ";14;"AK4;C1orf61;CCL5;CNKSR3;CSF3;CXCL1;CXCL5;ETS1;IL36G;LINC01366;NEURL3;SLC2A5;TNFRSF6B;TNFSF15"
"34";4,66;0,134;"RELA (directAnnotation). ";12;"CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;STEAP4;TNFSF15"
"35";4,63;0,134;"NFKB2 (directAnnotation). ";13;"AK4;CCL5;CNKSR3;CSF3;CXCL1;CXCL5;ETS1;IL36G;LINC01366;NEURL3;SLC2A5;TNFRSF6B;TNFSF15"
"36";4,61;0,133;"EBF1; STAT6 (directAnnotation). ";12;"C1orf61;CCL23;CCL5;CSF3;CXCL5;IL36G;LINC01366;MET;MSANTD3;NEURL3;TNFRSF18;TNFSF15"
"37";4,61;0,133;"IRF1 (directAnnotation). ";21;"CCL5;CD274;CDKN2B;CNKSR3;CRIM1;CXCL5;EDN1;ETS1;GATA2;GGT5;IDO1;IL7R;ISG15;MET;P2RX7;PLOD2;RSAD2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"38";4,6;0,133;"IRF1 (directAnnotation). ";14;"C1orf61;CCL5;CD274;CNKSR3;CRIM1;IDO1;ISG15;P2RX7;RSAD2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"39";4,6;0,133;"STAT1 (directAnnotation). ";18;"ARID5B;CCL5;CD274;CNKSR3;CRIM1;EDN1;EMP1;GATA2;IDO1;ISG15;P2RX7;PLOD2;RSAD2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"40";4,57;0,132;"";18;"C1orf61;CCL5;CD274;CNKSR3;CRIM1;CXCL5;EDN1;EMP1;IDO1;ISG15;LINC01366;P2RX7;RSAD2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"41";4,57;0,132;"IRF8 (directAnnotation). ";11;"CCL5;CD274;CNKSR3;EMP1;IDO1;ISG15;MET;RSAD2;SLC7A11;TNFSF15;ZC3HAV1"
"42";4,57;0,132;"RELA (inferredBy_Orthology). ";11;"CCL5;CXCL1;CXCL5;DLL1;ETS1;IL36G;INHBA;LINC01366;MSANTD3;NEURL3;TNFSF15"
"43";4,54;0,132;"RELA (directAnnotation). ";13;"CCL5;CSF3;CXCL1;CXCL5;ETS1;GGT5;IL36G;LINC01366;MSANTD3;NEURL3;PTGIR;STEAP4;TNFSF15"
"44";4,53;0,131;"IRF1; IRF2; IRF3; IRF4; IRF5; IRF6; IRF7; IRF8 (directAnnotation). ";16;"C1orf61;CCL5;CD274;CNKSR3;CRIM1;EDN1;IDO1;ISG15;MET;P2RX7;RSAD2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"45";4,53;0,131;"NFKB1; RELA (directAnnotation). REL (inferredBy_Orthology). ";14;"CCL5;CSF3;CXCL1;CXCL5;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;PTGIR;SLC1A2;STEAP4;TM4SF1;TNFSF15"
"46";4,51;0,131;"PRDM1 (inferredBy_Orthology). ";13;"C1orf61;CCL5;CD274;CNKSR3;CRIM1;EDN1;ETS1;IDO1;ISG15;MET;P2RX7;RSAD2;TNFSF15"
"47";4,5;0,131;"IRF1 (directAnnotation). ";29;"C1orf61;C2CD4B;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;CSF3;CXCL5;EDN1;EMP1;ETS1;GATA2;GCSAML;IDO1;ISG15;MET;MSC;P2RX7;PLOD2;PPP1R17;RSAD2;SLC1A2;SLC39A8;SLC7A11;SPP1;SUCNR1;TNFSF15;ZC3HAV1"
"48";4,5;0,131;"NFKB1 (inferredBy_Orthology). ";12;"CCL23;CCL5;CSF3;CXCL1;CXCL5;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;SDC2;TNFSF15"
"49";4,49;0,131;"CEBPB (directAnnotation). ";13;"AK4;CSF3;DEFB1;GATA2;INHBA;MMP1;NDRG1;PDSS1;PTGIR;SLC1A2;SLC7A11;STEAP4;TNFSF15"
"50";4,49;0,131;"CEBPD (directAnnotation). ";13;"AK4;CSF3;DEFB1;GATA2;INHBA;MMP1;NDRG1;PDSS1;PTGIR;SLC1A2;SLC7A11;STEAP4;TNFSF15"
