"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"55";3,9;0,0634;"FOXI1 (directAnnotation). ";5;"CALM2;COTL1;GCA;HMGB2;JDP2"
"56";3,89;0,0632;"FOXI1 (directAnnotation). ";5;"CALM2;COTL1;GCA;HMGB2;JDP2"
"57";3,88;0,063;"CEBPB (directAnnotation). ";5;"BLVRB;GCA;JDP2;NRG1;SLC7A7"
"58";3,87;0,0629;"ZBTB32 (directAnnotation). ";5;"CALM2;MYL12A;NRG1;PHC2;TNFSF13B"
"59";3,87;0,0629;"";6;"BLVRB;CALM2;JDP2;KRT10;NRG1;PHC2"
"60";3,85;0,0627;"OSR2 (directAnnotation). ";17;"ASGR1;BLVRB;CALM2;CD37;CFP;CSTA;EVI2B;FKBP1A;LY96;MSRB2;NKG7;NRG1;PSMB6;PSMB8;PSMB9;SLC7A7;VAMP5"
"61";3,82;0,0623;"ZBTB32 (directAnnotation). ";5;"CALM2;MYL12A;NRG1;PHC2;TNFSF13B"
"62";3,8;0,062;"NKX2-5 (directAnnotation). ";3;"CSTA;MYL12A;VAMP5"
"63";3,79;0,0619;"HMX2 (directAnnotation). ";6;"CSTA;GCA;MYL12A;NRG1;SLC7A7;VAMP5"
"64";3,78;0,0618;"ZNF197 (directAnnotation). ";13;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;TRAPPC5"
"65";3,76;0,0616;"IRF1 (directAnnotation). ";14;"C3AR1;CALM2;CNIH4;DYNLT1;KRT10;MNDA;NRG1;PHC2;PSMA2;PSMB8;PSMB9;REEP5;SLC7A7;TNFSF13B"
"66";3,75;0,0615;"IRF4 (directAnnotation). ";11;"C3AR1;COPS9;DYNLT1;IFITM2;MNDA;NRG1;PHC2;PSMA2;PSMB8;PSMB9;SLC7A7"
"67";3,73;0,0611;"";4;"BLVRB;GCA;NRG1;PHC2"
"68";3,72;0,061;"FOXA1 (directAnnotation). ";4;"CD37;CLIC1;COTL1;VAMP5"
"69";3,71;0,061;"";14;"C3AR1;CFP;CORO1A;EVI2B;FKBP1A;GLIPR1;HSBP1;NRG1;PHC2;PLBD1;REEP5;SLC7A7;TKT;TNFSF13B"
"70";3,71;0,0609;"";13;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;TRAPPC5"
"71";3,7;0,0608;"IRF2 (directAnnotation). ";4;"PSMA2;PSMB8;PSMB9;TNFSF13B"
"72";3,7;0,0608;"";13;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;TRAPPC5"
"73";3,69;0,0607;"ZFP1 (directAnnotation). ";13;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;TRAPPC5"
"74";3,68;0,0605;"SP3 (inferredBy_Orthology). ";4;"BLVRB;CLIC1;HMGB2;NRG1"
"75";3,68;0,0605;"SP6 (inferredBy_Orthology). ";4;"BLVRB;CLIC1;HMGB2;NRG1"
"76";3,67;0,0605;"IRF1 (directAnnotation). ";6;"DYNLT1;PSMA2;PSMB8;PSMB9;SLC7A7;TNFSF13B"
"77";3,67;0,0605;"SP2 (directAnnotation). ";4;"BLVRB;CLIC1;HMGB2;NRG1"
"78";3,66;0,0603;"SP6 (directAnnotation). ";4;"BLVRB;CLIC1;HMGB2;NRG1"
"79";3,65;0,0601;"NKX2-3 (directAnnotation). ";10;"CSTA;FKBP1A;GCA;HSBP1;KRT10;MSRB2;MYL12A;NRG1;SLC7A7;VAMP5"
"80";3,64;0,0601;"";5;"ASGR1;BLVRB;CORO1A;SLC7A7;TKT"
"81";3,63;0,0599;"KLF6 (directAnnotation). ";4;"BLVRB;CLIC1;HMGB2;NRG1"
"82";3,62;0,0597;"KLF2 (inferredBy_Orthology). ";4;"BLVRB;CLIC1;HMGB2;NRG1"
"83";3,6;0,0595;"ELK1 (inferredBy_Orthology). ";6;"CORO1A;EVI2B;HSBP1;MYL12A;PRELID1;ZNHIT1"
"84";3,59;0,0595;"HMX2 (directAnnotation). ";6;"CSTA;GCA;MYL12A;NRG1;SLC7A7;VAMP5"
