"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"THBS1_IFNGR1","THBS1","IFNGR1",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.95748995686857,0,0
"CXCL14_IL18R1","CXCL14","IL18R1",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.95707032336811,0.00878,0.0370985915492958
"IL1A_SORT1","IL1A","SORT1",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.95385923452899,0.00417,0.0209811320754717
"CCL20_ITGAV","CCL20","ITGAV",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-3.93847222471799,0.00102,0.00659838274932615
"IL1A_CD36","IL1A","CD36",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.93680012691242,0.00112,0.00712997347480106
"HEBP1_ITGAM","HEBP1","ITGAM",113,15,2.791305247187e-06,4.59693971303573e-07,108,-3.934218601779,0,0
"CD1D_MERTK","CD1D","MERTK",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.93180728061871,0.00011,0.00107317073170732
"CXCL14_IL6R","CXCL14","IL6R",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.92752625652608,0.00684,0.030456400742115
"CCL20_IL10RA","CCL20","IL10RA",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-3.91968179069279,2e-05,0.000258064516129032
"CXCL14_IL1R1","CXCL14","IL1R1",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.91746097714764,0.01383,0.0532776886035313
"ANXA1_CD209","ANXA1","CD209",1234,241,3.04820413719359e-05,7.38574980561074e-06,477,-3.9116542969327,0,0
"IL1B_ITGAM","IL1B","ITGAM",7883,1070,0.000194724418261727,3.27915032863216e-05,493,-3.90221880859438,0.00071,0.00493913043478261
"TNF_MERTK","TNF","MERTK",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.8939461532325,0.04132,0.129462140992167
"CD1D_ADGRE2","CD1D","ADGRE2",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.88428999167186,0,0
"CD1D_CCR1","CD1D","CCR1",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.8824081809159,0,0
"CD1D_IL12RB1","CD1D","IL12RB1",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.8824081809159,0,0
"IL1A_BCR","IL1A","BCR",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.87985872146313,0.00492,0.0238064516129032
"CXCL12_IL1RAP","CXCL12","IL1RAP",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.87926050290907,1e-05,0.000141176470588235
"CD1D_TNFRSF21","CD1D","TNFRSF21",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.86814076376958,0,0
"THBS1_SORT1","THBS1","SORT1",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.85322623174539,0.00026,0.00216666666666667
"TNF_ADGRE2","TNF","ADGRE2",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.84639508815095,0.00067,0.00471554252199414
"IL1A_CD72","IL1A","CD72",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.84516576606731,0.00194,0.0113009708737864
"TNF_CCR1","TNF","CCR1",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.84453702738936,0.00503,0.0240956175298805
"TNF_IL12RB1","TNF","IL12RB1",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.84453702738936,0.00417,0.0209811320754717
"CD1D_PILRA","CD1D","PILRA",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.8396886714397,0,0
"THBS1_CD36","THBS1","CD36",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.83615442080163,0,0
"TNF_TNFRSF21","TNF","TNFRSF21",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.83024818206308,0.00096,0.00629508196721312
"ALCAM_CD209","ALCAM","CD209",145,30,3.5817633702842e-06,9.19387942607146e-07,127,-3.8283899604886,0.00178,0.0105221674876847
"CXCL14_IL6ST","CXCL14","IL6ST",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.82150127366719,0.01132,0.0458918918918919
