"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"GAS6_ADGRE5","GAS6","ADGRE5",67,49,1.65295776685504e-06,1.50933827591307e-06,102,-0.0791792536493634,0.99658,1
"APLP2_ITGAV","APLP2","ITGAV",1099,674,2.71134415787118e-05,2.07611019992941e-05,759,-0.0758379103542296,1,1
"GAS6_ACVR1B","GAS6","ACVR1B",67,49,1.65295776685504e-06,1.50933827591307e-06,102,-0.0719836971887652,0.98353,1
"APP_ADGRA2","APP","ADGRA2",208,123,5.13157038068432e-06,3.78874710076139e-06,262,-0.0678288023998814,0.99999,1
"PDGFB_ERBB3","PDGFB","ERBB3",84,85,2.0723649614302e-06,2.61823986637982e-06,88,-0.0658741239752104,0.99897,1
"TNFSF12_EGFR","TNFSF12","EGFR",95,43,2.34374608733178e-06,1.32452134416862e-06,119,-0.0657038124500632,0.99918,1
"EREG_TNFRSF1A","EREG","TNFRSF1A",3897,4340,9.61429316034941e-05,0.000133684247295158,947,-0.0548085521316786,1,1
"CD93_TNFRSF1A","CD93","TNFRSF1A",570,638,1.40624765239907e-05,1.96522004088274e-05,576,-0.04754515791718,1,1
"EBI3_ACKR3","EBI3","ACKR3",74,72,1.82565484697423e-06,2.2178031809335e-06,108,-0.0465496028284566,0.99879,1
"GAS6_ITGA3","GAS6","ITGA3",67,49,1.65295776685504e-06,1.50933827591307e-06,102,-0.0455115393372482,0.9941,1
"SDC2_CD36","SDC2","CD36",179,260,4.41611104876198e-06,8.00873370892652e-06,264,-0.0419421828991072,0.99771,1
"KLRB1_IL1R1","KLRB1","IL1R1",111,89,2.73848227046134e-06,2.74145115420946e-06,105,-0.0388225348105202,0.99997,1
"EBI3_IFNGR1","EBI3","IFNGR1",74,72,1.82565484697423e-06,2.2178031809335e-06,108,-0.0386444102484185,0.99962,1
"OSM_IL10RB","OSM","IL10RB",406,440,1.00164306469127e-05,1.35532416612603e-05,345,-0.0306494450888497,0.99829,1
"NRG1_NRP1","NRG1","NRP1",220,93,5.42762251803149e-06,2.8646624420391e-06,200,-0.0300807563453585,0.99994,1
"IL10_NRP1","IL10","NRP1",406,173,1.00164306469127e-05,5.32888819863187e-06,250,-0.0185875448223928,1,1
"VEGFA_CD36","VEGFA","CD36",1079,1593,2.66200213497999e-05,4.90688953781536e-05,758,-0.0184428174434812,1,1
"THBS1_ACVR2A","THBS1","ACVR2A",8918,4383,0.00022001608007184,0.000135008768639327,952,-0.0153555632740076,0.99853,1
"APLP2_ADGRA2","APLP2","ADGRA2",1099,674,2.71134415787118e-05,2.07611019992941e-05,759,-0.0152744830605641,1,1
"APP_IL6ST","APP","IL6ST",208,123,5.13157038068432e-06,3.78874710076139e-06,262,-0.0145374909569707,1,1
"TGFB1_AXL","TGFB1","AXL",480,432,1.18420854938869e-05,1.3306819085601e-05,554,-0.01243454082666,1,1
"PPIA_NRP1","PPIA","NRP1",2613,1122,6.44653529073467e-05,3.45607662362137e-05,1105,-0.00751430461615958,1,1
"ITGB1_IL1R1","ITGB1","IL1R1",547,449,1.34950432607419e-05,1.38304670588769e-05,575,-0.00496549434035543,0.99995,1
"IL15_CD36","IL15","CD36",73,109,1.80098383552863e-06,3.35750759335765e-06,156,-0.00213445353917029,0.99996,1
"SEMA4A_LTBR","SEMA4A","LTBR",84,106,2.0723649614302e-06,3.26509912748543e-06,168,0.00130278374070307,0.99998,1
"SEMA4D_TNFRSF14","SEMA4D","TNFRSF14",168,130,4.14472992286041e-06,4.00436685446326e-06,247,0.0016686065007321,0.99999,1
"SEMA4D_ADGRE5","SEMA4D","ADGRE5",168,130,4.14472992286041e-06,4.00436685446326e-06,247,0.00225045562913283,0.99999,1
"GAS6_PLXND1","GAS6","PLXND1",67,49,1.65295776685504e-06,1.50933827591307e-06,102,0.00677033066591178,0.99996,1
"EREG_IL10RB","EREG","IL10RB",3897,4340,9.61429316034941e-05,0.000133684247295158,947,0.00865786648485246,0.99986,1
"THBS1_CD74","THBS1","CD74",8918,4383,0.00022001608007184,0.000135008768639327,952,0.00878196466837314,1,1
"SEMA4D_ACVR1B","SEMA4D","ACVR1B",168,130,4.14472992286041e-06,4.00436685446326e-06,247,0.00944595315583825,0.99888,1
