"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"IL23A_TNFRSF14","IL23A","TNFRSF14",218,593,5.35350652467203e-06,1.81382258215232e-05,197,1.86034357375675,0.20747,0.747355990415335
"CXCL9_ITGAV","CXCL9","ITGAV",265,766,6.50770288549581e-06,2.34298161539406e-05,246,1.86120855717702,0.05137,0.239833022774327
"IL1A_CD74","IL1A","CD74",424,1093,1.04123246167933e-05,3.34318394990302e-05,343,1.86360120615036,0.02074,0.108764418604651
"TNFSF14_TNFRSF10A","TNFSF14","TNFRSF10A",92,290,2.25927798288911e-06,8.87029593295402e-06,182,1.86464065898554,0.00859,0.0504438802083333
"TNFSF14_ADGRE5","TNFSF14","ADGRE5",92,290,2.25927798288911e-06,8.87029593295402e-06,182,1.86483437705473,0.0041,0.0271129032258065
"IL1A_ICOS","IL1A","ICOS",424,1093,1.04123246167933e-05,3.34318394990302e-05,343,1.86551179515034,0.02093,0.109304861111111
"CD80_CD2","CD80","CD2",42,112,1.03140951392764e-06,3.42576946376155e-06,125,1.86610979641845,0.0029,0.0199984709480122
"IL23A_IL27RA","IL23A","IL27RA",218,593,5.35350652467203e-06,1.81382258215232e-05,197,1.86740965257653,0.20393,0.73577944
"IL23A_TNFRSF25","IL23A","TNFRSF25",218,593,5.35350652467203e-06,1.81382258215232e-05,197,1.873440407012,0.1973,0.715291800643087
"CXCL11_CD2","CXCL11","CD2",35,94,8.59507928273032e-07,2.8751993713713e-06,57,1.87637812211693,0.09372,0.397337781954887
"TNFSF14_CD6","TNFSF14","CD6",92,290,2.25927798288911e-06,8.87029593295402e-06,182,1.87840516115485,0.00355,0.0240397897897898
"TNFSF14_ITGA4","TNFSF14","ITGA4",92,290,2.25927798288911e-06,8.87029593295402e-06,182,1.88045459536032,0.00345,0.023575
"CLCF1_CD28","CLCF1","CD28",21,55,5.15704756963819e-07,1.68229750452576e-06,62,1.8825162736168,0.22958,0.804096583850932
"CD80_PLXND1","CD80","PLXND1",42,112,1.03140951392764e-06,3.42576946376155e-06,125,1.88324058865916,0.00707,0.0426279411764706
"CLCF1_CD74","CLCF1","CD74",21,55,5.15704756963819e-07,1.68229750452576e-06,62,1.88648609580271,0.2254,0.795425665101721
"CLCF1_ICOS","CLCF1","ICOS",21,55,5.15704756963819e-07,1.68229750452576e-06,62,1.88839641182193,0.22601,0.796332109375
"CXCL11_PLXND1","CXCL11","PLXND1",35,94,8.59507928273032e-07,2.8751993713713e-06,57,1.89350781844672,0.09477,0.40095
"IL23A_CD2","IL23A","CD2",218,593,5.35350652467203e-06,1.81382258215232e-05,197,1.89477630559587,0.17628,0.660317940199336
"IL6_TNFRSF1A","IL6","TNFRSF1A",137,586,3.36435960495444e-06,1.79241152300381e-05,183,1.89712335005533,0.01692,0.0909516666666667
"CXCL9_ITGAL","CXCL9","ITGAL",265,766,6.50770288549581e-06,2.34298161539406e-05,246,1.90071037810286,0.02436,0.125415068493151
"CCL5_TNFRSF10A","CCL5","TNFRSF10A",85,275,2.08737639723451e-06,8.41148752262881e-06,177,1.90219022634467,0.06542,0.293868725099602
"CCL5_ADGRE5","CCL5","ADGRE5",85,275,2.08737639723451e-06,8.41148752262881e-06,177,1.90238410508594,0.04812,0.22677108559499
"CD80_CD28","CD80","CD28",42,112,1.03140951392764e-06,3.42576946376155e-06,125,1.90851179415949,0.0019,0.0135585443037975
"IL23A_PLXND1","IL23A","PLXND1",218,593,5.35350652467203e-06,1.81382258215232e-05,197,1.9119114452033,0.18871,0.693063599348534
"CD80_CD74","CD80","CD74",42,112,1.03140951392764e-06,3.42576946376155e-06,125,1.91248139313753,0.00171,0.0123591346153846
"CD80_ICOS","CD80","ICOS",42,112,1.03140951392764e-06,3.42576946376155e-06,125,1.9143918517677,0.00185,0.0132436507936508
"ICAM1_SELL","ICAM1","SELL",790,1482,1.94003218095913e-05,4.53302709401305e-05,817,1.91476541084803,4e-05,0.000362248995983936
"ITGAV_SELL","ITGAV","SELL",81,152,1.98914691971759e-06,4.64925855796211e-06,181,1.91522182630793,0.00791,0.047187962962963
"CCL5_CD6","CCL5","CD6",85,275,2.08737639723451e-06,8.41148752262881e-06,177,1.91595488308005,0.04437,0.211531395348837
"CCL5_ITGA4","CCL5","ITGA4",85,275,2.08737639723451e-06,8.41148752262881e-06,177,1.91800432575234,0.04258,0.204293404255319
"CXCL11_CD28","CXCL11","CD28",35,94,8.59507928273032e-07,2.8751993713713e-06,57,1.91878006539942,0.0844,0.36460153256705
"CXCL11_CD74","CXCL11","CD74",35,94,8.59507928273032e-07,2.8751993713713e-06,57,1.92274971031724,0.08315,0.35997763915547
"ICAM1_CCR4","ICAM1","CCR4",790,1482,1.94003218095913e-05,4.53302709401305e-05,817,1.92323595888367,6e-05,0.000526459143968872
"ITGAV_CCR4","ITGAV","CCR4",81,152,1.98914691971759e-06,4.64925855796211e-06,181,1.92369201003831,0.00805,0.047896437994723
"CXCL11_ICOS","CXCL11","ICOS",35,94,8.59507928273032e-07,2.8751993713713e-06,57,1.92466013960261,0.08281,0.359800674373796
"PVR_SELL","PVR","SELL",19,36,4.6659001820536e-07,1.1011401847805e-06,52,1.92914105188019,0.15398,0.594563184931507
"TNFSF14_IL15RA","TNFSF14","IL15RA",92,290,2.25927798288911e-06,8.87029593295402e-06,182,1.93116010731601,0.00625,0.0380912162162162
"CXCL9_IL6ST","CXCL9","IL6ST",265,766,6.50770288549581e-06,2.34298161539406e-05,246,1.9343517905584,0.01773,0.0947420616113744
