"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"VEGFA_FPR1","VEGFA","FPR1",1079,1593,2.68119125203083e-05,4.86800286469592e-05,758,1.12459422577595,0.93593,1
"CCL3_ACKR3","CCL3","ACKR3",5143,17991,0.000127797651614408,0.000549781792459161,1051,1.12706128419816,0.39757,0.885180488372093
"SEMA4D_FPR2","SEMA4D","FPR2",168,130,4.17460732475607e-06,3.9726325951693e-06,247,1.12742390451211,0.94875,1
"B2M_ITGAL","B2M","ITGAL",41570,35581,0.00103296682434589,0.00108730954129784,1676,1.12784716938416,0.7253,1
"ALCAM_CCR6","ALCAM","CCR6",113,178,2.80792040296093e-06,5.43945078415489e-06,215,1.12857512771716,0.88803,1
"ANXA1_IL1R1","ANXA1","IL1R1",2459,1373,6.11033298308047e-05,4.19571119474419e-05,990,1.12941432210606,0.96609,1
"ALCAM_FPR3","ALCAM","FPR3",113,178,2.80792040296093e-06,5.43945078415489e-06,215,1.1312089172889,0.99699,1
"IL1B_IL10RB","IL1B","IL10RB",13198,21711,0.000327955163524587,0.000663460202105544,1273,1.13317392496864,0.97777,1
"TNF_CD209","TNF","CD209",461,2302,1.14553212899557e-05,7.03461556467672e-05,543,1.13474971451551,0.674,1
"CD80_ITGA4","CD80","ITGA4",42,112,1.04365183118902e-06,3.42257577429971e-06,125,1.13539021306426,0.37089,0.83564856974691
"GAS6_IL6R","GAS6","IL6R",67,49,1.66487315927772e-06,1.49737690125612e-06,102,1.13712312677822,0.77608,1
"OSM_LILRB2","OSM","LILRB2",406,440,1.00886343681605e-05,1.34458333990346e-05,345,1.13727935410369,0.73464,1
"IL15_CLEC2D","IL15","CLEC2D",73,109,1.81396627801901e-06,3.33089963748811e-06,156,1.13926790773834,0.80719,1
"ICAM1_SIGLEC1","ICAM1","SIGLEC1",790,1482,1.9630593967603e-05,4.52880115849301e-05,817,1.1404647247093,0.76745,1
"IL15_FPR1","IL15","FPR1",73,109,1.81396627801901e-06,3.33089963748811e-06,156,1.14090236447648,0.91481,1
"ITGAV_SIGLEC1","ITGAV","SIGLEC1",81,152,2.01275710300739e-06,4.64492426512103e-06,181,1.1409182645892,0.81186,1
"APP_IL15RA","APP","IL15RA",208,123,5.16856144969799e-06,3.75872160927557e-06,262,1.14099000996828,0.828,1
"IL1B_LTBR","IL1B","LTBR",13198,21711,0.000327955163524587,0.000663460202105544,1273,1.14385901895056,0.96302,1
"CXCL11_ITGA4","CXCL11","ITGA4",35,94,8.69709859324182e-07,2.87251895343011e-06,57,1.14565842156418,0.99882,1
"SEMA4A_CALCRL","SEMA4A","CALCRL",84,106,2.08730366237804e-06,3.23922350067651e-06,168,1.14596330394313,0.53061,1
"INHBA_CD209","INHBA","CD209",521,2622,1.29462524773685e-05,8.01249435733378e-05,415,1.14601297106286,0.37371,0.841506988235294
"SEMA4A_TNFRSF1A","SEMA4A","TNFRSF1A",84,106,2.08730366237804e-06,3.23922350067651e-06,168,1.14987592366972,0.54954,1
"CLU_ACKR3","CLU","ACKR3",18,64,4.47279356223865e-07,1.95575758531412e-06,47,1.15051746407185,0.29848,0.697972779474649
"EBI3_CD2","EBI3","CD2",74,72,1.83881513114256e-06,2.20022728347838e-06,108,1.15080844908344,0.63785,1
"ANXA1_ITGAV","ANXA1","ITGAV",2459,1373,6.11033298308047e-05,4.19571119474419e-05,990,1.15334012144064,0.94462,1
"CD93_CSF3R","CD93","CSF3R",570,638,1.41638462804224e-05,1.94964584286001e-05,576,1.15344001752225,0.98338,1
"PVR_SIGLEC1","PVR","SIGLEC1",19,36,4.72128209347413e-07,1.10011364173919e-06,52,1.15482692191717,0.52412,1
"PLAU_IL10RB","PLAU","IL10RB",61,102,1.51578004053643e-06,3.11698865159438e-06,119,1.1567540151057,0.6371,1
"ICOSLG_ITGAL","ICOSLG","ITGAL",79,69,1.9630593967603e-06,2.10855114666678e-06,128,1.15702388446753,0.84903,1
