"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"SPP1_TNFRSF21","SPP1","TNFRSF21",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.17980732337794,0,0
"SPP1_CD74","SPP1","CD74",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.19319419258865,0,0
"SPP1_IL1RAP","SPP1","IL1RAP",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.20393538963452,0,0
"SPP1_FPR1","SPP1","FPR1",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.21285799310502,0,0
"IL1RN_SORT1","IL1RN","SORT1",870,6734,2.1454156831662e-05,0.0002067827696338,746,4.22217805280444,2e-05,0.000210090634441088
"SPP1_SELL","SPP1","SELL",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.22447364179711,0,0
"IL1RN_PLXND1","IL1RN","PLXND1",870,6734,2.1454156831662e-05,0.0002067827696338,746,4.2389869172534,0,0
"IL1RN_NRP1","IL1RN","NRP1",870,6734,2.1454156831662e-05,0.0002067827696338,746,4.24010071174807,0,0
"CD274_TNFRSF10A","CD274","TNFRSF10A",29,288,7.15138561055399e-07,8.84369433539269e-06,174,4.26759260408077,0.00085,0.00606868583162218
"CD274_CCR6","CD274","CCR6",29,288,7.15138561055399e-07,8.84369433539269e-06,174,4.28866887953863,0.00011,0.000980692307692308
"IL1RN_SIGLEC1","IL1RN","SIGLEC1",870,6734,2.1454156831662e-05,0.0002067827696338,746,4.29235735499292,0,0
"SPP1_SIGLEC10","SPP1","SIGLEC10",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.29242235433023,0,0
"SPP1_ADGRG6","SPP1","ADGRG6",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.30853760280597,0,0
"CD274_LILRB2","CD274","LILRB2",29,288,7.15138561055399e-07,8.84369433539269e-06,174,4.30932771365465,0,0
"SPP1_TNFRSF1A","SPP1","TNFRSF1A",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.31496783014981,0,0
"CD274_TLR8","CD274","TLR8",29,288,7.15138561055399e-07,8.84369433539269e-06,174,4.32651651872851,0,0
"CSF3_CD80","CSF3","CD80",18,89,4.43879106861971e-07,2.73294720781232e-06,48,4.33523134501361,3e-05,0.000299741379310345
"TNF_CD80","TNF","CD80",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,4.34950102620467,0,0
"INHBA_CD80","INHBA","CD80",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,4.36076439148784,0,0
"SPP1_SIRPA","SPP1","SIRPA",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.36198099435103,0,0
"CSF3_NRP2","CSF3","NRP2",18,89,4.43879106861971e-07,2.73294720781232e-06,48,4.36533399744436,4e-05,0.000391774647887324
"SPP1_IL15RA","SPP1","IL15RA",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.36742726857342,0.00054,0.00410849015317287
