"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"IL23A_NRP1","IL23A","NRP1",512,74,1.25948317649037e-05,2.27485701678263e-06,87,-1.12094378555383,0.99153,1
"VEGFB_TLR8","VEGFB","TLR8",158,39,3.88668636495075e-06,1.19891113046652e-06,143,-1.12059108858256,0.96127,1
"APP_IL1RAP","APP","IL1RAP",122,22,3.00111225648096e-06,6.7630884282727e-07,117,-1.11940595806919,0.96036,1
"CCL5_TLR8","CCL5","TLR8",182,45,4.47706910393061e-06,1.38335899669214e-06,129,-1.11815436559294,0.98932,1
"ICAM1_CALCRL","ICAM1","CALCRL",1564,377,3.84732751568542e-05,1.15894742611764e-05,373,-1.11806774907971,0.98391,1
"INHBA_CD2","INHBA","CD2",221,41,5.43644105477288e-06,1.26039375254173e-06,95,-1.11584212479995,0.99871,1
"ICAM1_TNFRSF1A","ICAM1","TNFRSF1A",1564,377,3.84732751568542e-05,1.15894742611764e-05,373,-1.11416328389173,1,1
"OSM_LILRB2","OSM","LILRB2",134,28,3.29630362597089e-06,8.60756709052889e-07,80,-1.11331123346638,0.99997,1
"LRPAP1_CALCRL","LRPAP1","CALCRL",277,67,6.81400077905922e-06,2.05966783951941e-06,209,-1.11311219260018,0.80078,1
"LRPAP1_TNFRSF1A","LRPAP1","TNFRSF1A",277,67,6.81400077905922e-06,2.05966783951941e-06,209,-1.1092117385748,0.95054,1
"SEMA4D_LILRB2","SEMA4D","LILRB2",133,28,3.27170434518006e-06,8.60756709052889e-07,132,-1.10250448111734,0.99949,1
"PPIA_CD2","PPIA","CD2",2143,404,5.27162587347434e-05,1.24194896591917e-05,695,-1.09269798344377,0.97895,1
"INHBA_CCR1","INHBA","CCR1",221,41,5.43644105477288e-06,1.26039375254173e-06,95,-1.09256566716473,0.99996,1
"ITGAV_PLXNB2","ITGAV","PLXNB2",127,49,3.12410866043509e-06,1.50632424084256e-06,121,-1.09224952914524,0.97909,1
