"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"IL15_IL6R","IL15","IL6R",73,109,1.7878954043961e-06,3.32876224037792e-06,156,0.762567692349953,0.93746,1
"B2M_PLAUR","B2M","PLAUR",41570,35581,0.00101812071179104,0.00108661182820997,1676,0.76370970149775,0.99866,1
"CD58_MERTK","CD58","MERTK",187,374,4.57995124139823e-06,1.14216245679022e-05,400,0.767628201790657,0.99957,1
"PLAU_IL6ST","PLAU","IL6ST",61,102,1.49399478997482e-06,3.11498851851879e-06,119,0.778719026280923,0.98756,1
"ICAM4_MERTK","ICAM4","MERTK",37,75,9.06193561132271e-07,2.29043273420499e-06,96,0.786993177091225,0.99992,1
"CD93_IL15RA","CD93","IL15RA",570,638,1.39602791850107e-05,1.94839477923038e-05,576,0.788261608752093,0.99982,1
"PLAU_TNFRSF13B","PLAU","TNFRSF13B",61,102,1.49399478997482e-06,3.11498851851879e-06,119,0.793059490915961,0.98485,1
"CD93_IL12RB1","CD93","IL12RB1",570,638,1.39602791850107e-05,1.94839477923038e-05,576,0.793977248480744,0.99958,1
"CD93_ITGA4","CD93","ITGA4",570,638,1.39602791850107e-05,1.94839477923038e-05,576,0.803120957837864,1,1
"GAS6_SELL","GAS6","SELL",67,49,1.64094509718546e-06,1.49641605301393e-06,102,0.818600876905669,0.91178,1
"OSM_CD2","OSM","CD2",406,440,9.94363745458654e-06,1.34372053740026e-05,345,0.847080725719037,0.92572,1
"TNFSF13_PLAUR","TNFSF13","PLAUR",184,167,4.50647608779291e-06,5.10003022149645e-06,266,0.848287448898504,0.85681,1
"IL15_BSG","IL15","BSG",73,109,1.7878954043961e-06,3.32876224037792e-06,156,0.858947077443257,0.88684,1
"ICAM1_IFNGR1","ICAM1","IFNGR1",790,1482,1.93484571160674e-05,4.52589508278907e-05,817,0.876684105936864,0.99959,1
"ITGAV_IFNGR1","ITGAV","IFNGR1",81,152,1.98382914734362e-06,4.64194367465545e-06,181,0.877140402521473,0.99972,1
"TNFSF13B_SELL","TNFSF13B","SELL",803,613,1.96668494483571e-05,1.87204702142355e-05,723,0.880468844808495,0.99265,1
"ICAM1_CXCR3","ICAM1","CXCR3",790,1482,1.93484571160674e-05,4.52589508278907e-05,817,0.88600899391417,0.99782,1
"ITGAV_CXCR3","ITGAV","CXCR3",81,152,1.98382914734362e-06,4.64194367465545e-06,181,0.886465143655232,0.99913,1
"CD93_CD2","CD93","CD2",570,638,1.39602791850107e-05,1.94839477923038e-05,576,0.89365144934773,0.99856,1
"PLAU_ADGRE5","PLAU","ADGRE5",61,102,1.49399478997482e-06,3.11498851851879e-06,119,0.89822775012659,0.95807,1
"ICAM1_IL27RA","ICAM1","IL27RA",790,1482,1.93484571160674e-05,4.52589508278907e-05,817,0.899779828986956,0.99861,1
"IL15_CCR6","IL15","CCR6",73,109,1.7878954043961e-06,3.32876224037792e-06,156,0.899954996831834,0.79042,1
"ITGAV_IL27RA","ITGAV","IL27RA",81,152,1.98382914734362e-06,4.64194367465545e-06,181,0.900236069774207,0.99923,1
"IL15_CD74","IL15","CD74",73,109,1.7878954043961e-06,3.32876224037792e-06,156,0.900812956759808,0.84548,1
"PLAU_IL6R","PLAU","IL6R",61,102,1.49399478997482e-06,3.11498851851879e-06,119,0.925895796874357,0.93824,1
"ICAM1_IL6ST","ICAM1","IL6ST",790,1482,1.93484571160674e-05,4.52589508278907e-05,817,0.944651961639764,0.99985,1
"ITGAV_IL6ST","ITGAV","IL6ST",81,152,1.98382914734362e-06,4.64194367465545e-06,181,0.945108539767228,0.99982,1
