"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"ITGAV_IL10RA","ITGAV","IL10RA",81,152,2.00968165377249e-06,4.67446560248357e-06,181,0.675791207026569,0.99578,1
"OSM_SELL","OSM","SELL",406,440,1.00732191534769e-05,1.3531347796663e-05,345,0.677491429896641,0.99987,1
"CXCL11_TNFRSF13B","CXCL11","TNFRSF13B",35,94,8.68380961506632e-07,2.890787938378e-06,57,0.683270485576996,0.96149,1
"SEMA4D_CXCR3","SEMA4D","CXCR3",168,130,4.16822861523183e-06,3.99789821265042e-06,247,0.687267032533852,0.94985,1
"OSM_IL6ST","OSM","IL6ST",406,440,1.00732191534769e-05,1.3531347796663e-05,345,0.687817557883304,0.99251,1
"IL6_ITGAM","IL6","ITGAM",137,586,3.3990911921831e-06,1.80212950201011e-05,183,0.694512571826552,0.62947,1
"CD93_TNFRSF14","CD93","TNFRSF14",570,638,1.41422042302509e-05,1.96204543051613e-05,576,0.698983100770568,1,1
"NCR3LG1_CD74","NCR3LG1","CD74",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.700154373024312,1,1
"IL23A_TNFRSF13B","IL23A","TNFRSF13B",218,593,5.40877284595559e-06,1.82365664623208e-05,197,0.701668924266421,0.99731,1
"KLRB1_CD72","KLRB1","CD72",111,89,2.75400819220675e-06,2.73702262250683e-06,105,0.714492694637761,1,1
"OSM_ITGA4","OSM","ITGA4",406,440,1.00732191534769e-05,1.3531347796663e-05,345,0.720776864288263,0.99875,1
"CD93_SELL","CD93","SELL",570,638,1.41422042302509e-05,1.96204543051613e-05,576,0.724062142951736,1,1
"ICAM1_TNFRSF10A","ICAM1","TNFRSF10A",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,0.730584817496141,0.99118,1
"ITGAV_TNFRSF10A","ITGAV","TNFRSF10A",81,152,2.00968165377249e-06,4.67446560248357e-06,181,0.731040564336803,0.98402,1
"CD93_IL6ST","CD93","IL6ST",570,638,1.41422042302509e-05,1.96204543051613e-05,576,0.734388315395273,0.99928,1
"KLRB1_CXCR3","KLRB1","CXCR3",111,89,2.75400819220675e-06,2.73702262250683e-06,105,0.738531721026625,0.98238,1
"NCR3LG1_CLEC2D","NCR3LG1","CLEC2D",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.747149536642678,1,1
"ITGB1_CD72","ITGB1","CD72",547,449,1.35715538841179e-05,1.38081253652311e-05,575,0.748349884712264,1,1
"NCR3LG1_ADGRE5","NCR3LG1","ADGRE5",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.75240673799355,1,1
"CXCL9_SIGLEC10","CXCL9","SIGLEC10",265,766,6.57488442283593e-06,2.35568463914632e-05,246,0.761409129898561,0.87874,1
