"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"PPIA_KDR","PPIA","KDR",2143,404,5.28091446217238e-05,1.24813451775944e-05,695,-2.19588757642952,0.04919,0.266651583011583
"IL6_CD36","IL6","CD36",93,58,2.29176409230999e-06,1.79187628787246e-06,53,-2.19440041513626,0.44166,1
"CD58_ACKR1","CD58","ACKR1",214,37,5.27352167477783e-06,1.14309349398761e-06,169,-2.17607352877623,0.72342,1
"VEGFB_IFNGR1","VEGFB","IFNGR1",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-2.17425849009285,0.25973,0.748790390143737
"CCL5_IFNGR1","CCL5","IFNGR1",182,45,4.484957686026e-06,1.39024884403898e-06,129,-2.17182161135482,0.49656,1
"ITGB1_ACVR2A","ITGB1","ACVR2A",465,106,1.145882046155e-05,3.27480838818071e-06,327,-2.16644839506858,0.38344,0.934854375
"ITGB1_IL10RB","ITGB1","IL10RB",465,106,1.145882046155e-05,3.27480838818071e-06,327,-2.1644576358562,0.32565,0.852544357541899
"CD44_ACKR1","CD44","ACKR1",1828,319,4.5046717857448e-05,9.85531958329855e-06,433,-2.16269773434876,0.99828,1
"IL1B_ADGRE5","IL1B","ADGRE5",7883,1070,0.000194257810104082,3.30570280693713e-05,493,-2.16258800745833,0.92234,1
"ITGB1_CD2","ITGB1","CD2",465,106,1.145882046155e-05,3.27480838818071e-06,327,-2.1605712958169,0.41628,0.977353043478261
"VEGFA_ACVR2A","VEGFA","ACVR2A",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-2.15906929434719,0.72518,1
"ITGB1_PLAUR","ITGB1","PLAUR",465,106,1.145882046155e-05,3.27480838818071e-06,327,-2.15796269845567,0.36608,0.905851901408451
"VEGFA_IL10RB","VEGFA","IL10RB",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-2.15707722660946,0.82397,1
"CD58_CD74","CD58","CD74",214,37,5.27352167477783e-06,1.14309349398761e-06,169,-2.15602568767299,0.77707,1
"ADM_BSG","ADM","BSG",122,27,3.00640020711633e-06,8.34149306423388e-07,82,-2.15370201702193,0.09723,0.413669454545455
"VEGFA_CD2","VEGFA","CD2",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-2.15319248901478,0.67316,1
"ITGAV_MERTK","ITGAV","MERTK",127,49,3.1296133303588e-06,1.51382651906467e-06,121,-2.15250995968827,0.31805,0.837562247191011
"VEGFA_PLAUR","VEGFA","PLAUR",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-2.15058244885121,0.77355,1
"CD93_CXCR4","CD93","CXCR4",398,109,9.80776461010082e-06,3.36749164444998e-06,258,-2.15038790929469,0.20514,0.650150248306998
"LRPAP1_TNFRSF1A","LRPAP1","TNFRSF1A",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.14965055431588,0.02292,0.155457391304348
"LGALS9_TNFRSF1A","LGALS9","TNFRSF1A",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.14759457583316,0.09297,0.40287
"CD44_CD74","CD44","CD74",1828,319,4.5046717857448e-05,9.85531958329855e-06,433,-2.14264983432995,1,1
"ADM_NRP2","ADM","NRP2",122,27,3.00640020711633e-06,8.34149306423388e-07,82,-2.1351747934995,0.11123,0.452566820809249
"TGFB1_CXCR4","TGFB1","CXCR4",397,110,9.78312198545233e-06,3.3983860632064e-06,313,-2.13358310461781,0.39167,0.948111517241379
"TNF_ITGAV","TNF","ITGAV",1104,98,2.7205457611938e-05,3.02765303812934e-06,226,-2.13311166607933,1,1
"OSM_ACVR1B","OSM","ACVR1B",134,28,3.30211170289827e-06,8.6504372517981e-07,80,-2.13175717002181,0.19999,0.644004495412844
"LRPAP1_SORT1","LRPAP1","SORT1",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.1254816915694,0.08255,0.375081553398058
"LGALS9_SORT1","LGALS9","SORT1",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.12342669694393,0.23981,0.713690084745763
"SEMA4D_ACVR1B","SEMA4D","ACVR1B",133,28,3.27746907824977e-06,8.6504372517981e-07,132,-2.12095044107606,0.51003,1
"VEGFB_TNFRSF1A","VEGFB","TNFRSF1A",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-2.12037586820456,0.31763,0.837562247191011
"CD47_CLEC2D","CD47","CLEC2D",197,66,4.85459705575342e-06,2.03903163792384e-06,194,-2.11807508011463,0.09992,0.422553253012048
"CCL5_TNFRSF1A","CCL5","TNFRSF1A",182,45,4.484957686026e-06,1.39024884403898e-06,129,-2.11793896017552,0.54856,1
"APP_ACKR1","APP","ACKR1",122,22,3.00640020711633e-06,6.79677212641279e-07,117,-2.1153655633295,0.08523,0.3823096485623
"ITGB1_BSG","ITGB1","BSG",465,106,1.145882046155e-05,3.27480838818071e-06,327,-2.11101907789119,0.36612,0.905851901408451
"CD93_SIRPA","CD93","SIRPA",398,109,9.80776461010082e-06,3.36749164444998e-06,258,-2.1105186121934,0.25914,0.748626666666667
"CD93_IGF1R","CD93","IGF1R",398,109,9.80776461010082e-06,3.36749164444998e-06,258,-2.10729085944411,0.21231,0.661529933481153
"VEGFA_BSG","VEGFA","BSG",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-2.10363828204364,0.92957,1
"LGALS3_CXCR4","LGALS3","CXCR4",1044,296,2.57269001330283e-05,9.14474795190085e-06,412,-2.10040062536569,0.52581,1
"CD47_IL1R1","CD47","IL1R1",197,66,4.85459705575342e-06,2.03903163792384e-06,194,-2.10027370781348,0.05711,0.295876162361624
"VEGFB_SORT1","VEGFB","SORT1",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-2.09620520032602,0.39791,0.951730221465077
"APP_CD74","APP","CD74",122,22,3.00640020711633e-06,6.79677212641279e-07,117,-2.09531776629342,0.07533,0.357308513513513
"CCL5_SORT1","CCL5","SORT1",182,45,4.484957686026e-06,1.39024884403898e-06,129,-2.09376887514937,0.57202,1
"TGFB1_SIRPA","TGFB1","SIRPA",397,110,9.78312198545233e-06,3.3983860632064e-06,313,-2.09371382105728,0.44902,1
"ITGB1_NRP2","ITGB1","NRP2",465,106,1.145882046155e-05,3.27480838818071e-06,327,-2.09249199454541,0.41167,0.969112763819096
"TGFB1_IGF1R","TGFB1","IGF1R",397,110,9.78312198545233e-06,3.3983860632064e-06,313,-2.09048605625296,0.43778,1
"IL10_LTBR","IL10","LTBR",259,40,6.38243978396008e-06,1.23577675025687e-06,126,-2.08869976258811,0.52145,1
"CD58_NRP1","CD58","NRP1",214,37,5.27352167477783e-06,1.14309349398761e-06,169,-2.08555331201682,0.85059,1
"VEGFA_NRP2","VEGFA","NRP2",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-2.08511122479458,0.91052,1
"LRPAP1_ACVR2A","LRPAP1","ACVR2A",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.08093313190244,0.14612,0.537415916230366
"LRPAP1_IL10RB","LRPAP1","IL10RB",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.07894368811911,0.06761,0.32959875
"LGALS9_ACVR2A","LGALS9","ACVR2A",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.07887895503684,0.32419,0.850771514018692
"LGALS9_IL10RB","LGALS9","IL10RB",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.07688808916684,0.23461,0.706850729613734
"LRPAP1_CD2","LRPAP1","CD2",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.07505573775102,0.21618,0.670014834437086
"INHBA_ACKR1","INHBA","ACKR1",221,41,5.44602004731729e-06,1.26667116901329e-06,95,-2.07441047396117,0.99978,1
"LGALS9_CD2","LGALS9","CD2",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.07300188009181,0.37259,0.917748
"LRPAP1_PLAUR","LRPAP1","PLAUR",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.07244859044205,0.11153,0.452566820809249
"CD44_NRP1","CD44","NRP1",1828,319,4.5046717857448e-05,9.85531958329855e-06,433,-2.07217763719608,0.99999,1
"LGALS9_PLAUR","LGALS9","PLAUR",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.07039316490643,0.29569,0.814017176470588
"CXCL8_LTBR","CXCL8","LTBR",9543,1493,0.000235164567020583,4.61253672033377e-05,548,-2.0700494225908,0.9942,1
"OSM_ADGRA2","OSM","ADGRA2",134,28,3.30211170289827e-06,8.6504372517981e-07,80,-2.06780394931531,0.20929,0.658841165919283
"CD93_ACVR1","CD93","ACVR1",398,109,9.80776461010082e-06,3.36749164444998e-06,258,-2.06773234320774,0.3306,0.85956
"IL10_PLXNB2","IL10","PLXNB2",259,40,6.38243978396008e-06,1.23577675025687e-06,126,-2.06740798179264,0.54015,1
"CXCL12_BCR","CXCL12","BCR",204,21,5.02709542829288e-06,6.48782793884858e-07,137,-2.06620517594746,0.14244,0.52962
"LGALS3_SIRPA","LGALS3","SIRPA",1044,296,2.57269001330283e-05,9.14474795190085e-06,412,-2.06053200832516,0.57076,1
"IL10_CALCRL","IL10","CALCRL",259,40,6.38243978396008e-06,1.23577675025687e-06,126,-2.05950273047229,0.54799,1
"OSM_FLT1","OSM","FLT1",134,28,3.30211170289827e-06,8.6504372517981e-07,80,-2.05761550458646,0.19409,0.635203636363636
"LGALS3_IGF1R","LGALS3","IGF1R",1044,296,2.57269001330283e-05,9.14474795190085e-06,412,-2.05730364653286,0.5933,1
"SEMA4D_ADGRA2","SEMA4D","ADGRA2",133,28,3.27746907824977e-06,8.6504372517981e-07,132,-2.05699720546449,0.58608,1
"INHBA_CD74","INHBA","CD74",221,41,5.44602004731729e-06,1.26667116901329e-06,95,-2.05436262512083,1,1
"B2M_CXCR4","B2M","CXCR4",32466,9518,0.000800047451838023,0.000294053077723623,849,-2.05214749368408,0.0689,0.334725259515571
"VEGFB_ACVR2A","VEGFB","ACVR2A",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-2.05165514246557,0.45398,1
"PPIA_ACKR1","PPIA","ACKR1",2143,404,5.28091446217238e-05,1.24813451775944e-05,695,-2.05126464752401,0.22814,0.694812494577007
"TGFB1_ACVR1","TGFB1","ACVR1",397,110,9.78312198545233e-06,3.3983860632064e-06,313,-2.05092757015293,0.49956,1
"VEGFB_IL10RB","VEGFB","IL10RB",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-2.0496683063347,0.43365,1
"CCL5_ACVR2A","CCL5","ACVR2A",182,45,4.484957686026e-06,1.39024884403898e-06,129,-2.04921930158344,0.59837,1
"ADM_ACVR1B","ADM","ACVR1B",122,27,3.00640020711633e-06,8.34149306423388e-07,82,-2.04887251577431,0.19739,0.642565080831409
"CXCL8_PLXNB2","CXCL8","PLXNB2",9543,1493,0.000235164567020583,4.61253672033377e-05,548,-2.04875836569768,0.98919,1
"OSM_KDR","OSM","KDR",134,28,3.30211170289827e-06,8.6504372517981e-07,80,-2.04741682226037,0.19977,0.644004495412844
"CCL5_IL10RB","CCL5","IL10RB",182,45,4.484957686026e-06,1.39024884403898e-06,129,-2.04723162309751,0.61573,1
"SEMA4D_FLT1","SEMA4D","FLT1",133,28,3.27746907824977e-06,8.6504372517981e-07,132,-2.04680875000428,0.62159,1
"VEGFB_CD2","VEGFB","CD2",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-2.04577716335565,0.46962,1
"CCL5_CD2","CCL5","CD2",182,45,4.484957686026e-06,1.39024884403898e-06,129,-2.04334151152458,0.58498,1
"VEGFB_PLAUR","VEGFB","PLAUR",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-2.04317289079871,0.45003,1
"CD55_IL6R","CD55","IL6R",698,80,1.72005520046492e-05,2.47155350051374e-06,342,-2.04119971113126,0.84399,1
"CXCL8_CALCRL","CXCL8","CALCRL",9543,1493,0.000235164567020583,4.61253672033377e-05,548,-2.04085138613762,0.99956,1
"CCL5_PLAUR","CCL5","PLAUR",182,45,4.484957686026e-06,1.39024884403898e-06,129,-2.04073631027346,0.61363,1
"IL10_IL6ST","IL10","IL6ST",259,40,6.38243978396008e-06,1.23577675025687e-06,126,-2.04035610147997,0.56748,1
"SEMA4D_KDR","SEMA4D","KDR",133,28,3.27746907824977e-06,8.6504372517981e-07,132,-2.03661006826155,0.63576,1
"IL10_TNFRSF10A","IL10","TNFRSF10A",259,40,6.38243978396008e-06,1.23577675025687e-06,126,-2.03641195835504,0.57003,1
"PPIA_CD74","PPIA","CD74",2143,404,5.28091446217238e-05,1.24813451775944e-05,695,-2.03121674574426,0.1818,0.620128192771084
"PRNP_CLEC2D","PRNP","CLEC2D",244,87,6.01280041423266e-06,2.6878144318087e-06,229,-2.02821221490607,0.36125,0.898187256637168
"LRPAP1_BSG","LRPAP1","BSG",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.02550551895689,0.06088,0.305269714285714
"APP_NRP1","APP","NRP1",122,22,3.00640020711633e-06,6.79677212641279e-07,117,-2.02484525753734,0.11816,0.468634576271186
"CD93_IFNGR1","CD93","IFNGR1",398,109,9.80776461010082e-06,3.36749164444998e-06,258,-2.02432077780006,0.28434,0.79842672
"LGALS9_BSG","LGALS9","BSG",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.02344949978913,0.24309,0.718522863157895
"CXCL8_IL6ST","CXCL8","IL6ST",9543,1493,0.000235164567020583,4.61253672033377e-05,548,-2.02170478628549,0.9998,1
"CXCL12_ITGA3","CXCL12","ITGA3",204,21,5.02709542829288e-06,6.48782793884858e-07,137,-2.01996568331983,0.22929,0.696803376623377
"CXCL8_TNFRSF10A","CXCL8","TNFRSF10A",9543,1493,0.000235164567020583,4.61253672033377e-05,548,-2.01776258985092,0.99013,1
"LGALS3_ACVR1","LGALS3","ACVR1",1044,296,2.57269001330283e-05,9.14474795190085e-06,412,-2.0177466313324,0.59681,1
"IGF1_CXCR4","IGF1","CXCR4",406,122,1.00049056072888e-05,3.76911908828346e-06,216,-2.01654627214824,0.09436,0.404120853658537
"B2M_SIRPA","B2M","SIRPA",32466,9518,0.000800047451838023,0.000294053077723623,849,-2.01227925430313,0.11334,0.453707386363636
"PRNP_IL1R1","PRNP","IL1R1",244,87,6.01280041423266e-06,2.6878144318087e-06,229,-2.01040996253102,0.3355,0.861128540145985
"B2M_IGF1R","B2M","IGF1R",32466,9518,0.000800047451838023,0.000294053077723623,849,-2.00905055416723,0.04917,0.266651583011583
"TGFB1_IFNGR1","TGFB1","IFNGR1",397,110,9.78312198545233e-06,3.3983860632064e-06,313,-2.00751596921234,0.58214,1
"LRPAP1_NRP2","LRPAP1","NRP2",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-2.00697840954527,0.08465,0.382095
"ITGB1_ACVR1B","ITGB1","ACVR1B",465,106,1.145882046155e-05,3.27480838818071e-06,327,-2.00619804679887,0.5347,1
"LGALS9_NRP2","LGALS9","NRP2",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-2.0049224186739,0.3064,0.826731787072243
"VEGFA_ACVR1B","VEGFA","ACVR1B",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-1.99881882727649,0.84685,1
"VEGFB_BSG","VEGFB","BSG",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-1.99623090781845,0.49613,1
"CCL5_BSG","CCL5","BSG",182,45,4.484957686026e-06,1.39024884403898e-06,129,-1.99379397566348,0.67393,1
"ADM_ADGRA2","ADM","ADGRA2",122,27,3.00640020711633e-06,8.34149306423388e-07,82,-1.98491943224527,0.20265,0.648105545454545
"INHBA_NRP1","INHBA","NRP1",221,41,5.44602004731729e-06,1.26667116901329e-06,95,-1.9838902732956,1,1
"VEGFB_NRP2","VEGFB","NRP2",158,39,3.89353469446213e-06,1.20488233150045e-06,143,-1.97770374662734,0.52491,1
"IGF1_SIRPA","IGF1","SIRPA",406,122,1.00049056072888e-05,3.76911908828346e-06,216,-1.97667711758064,0.13171,0.506632438356164
"IL10_ADGRE5","IL10","ADGRE5",259,40,6.38243978396008e-06,1.23577675025687e-06,126,-1.9763294262557,0.60727,1
"CCL5_NRP2","CCL5","NRP2",182,45,4.484957686026e-06,1.39024884403898e-06,129,-1.97526683122576,0.68507,1
"ADM_FLT1","ADM","FLT1",122,27,3.00640020711633e-06,8.34149306423388e-07,82,-1.97473106880597,0.18231,0.620128192771084
"LGALS3_IFNGR1","LGALS3","IFNGR1",1044,296,2.57269001330283e-05,9.14474795190085e-06,412,-1.9743332888621,0.73244,1
"IGF1_IGF1R","IGF1","IGF1R",406,122,1.00049056072888e-05,3.76911908828346e-06,216,-1.97344923771362,0.0867,0.386434285714286
"CD93_TNFRSF1A","CD93","TNFRSF1A",398,109,9.80776461010082e-06,3.36749164444998e-06,258,-1.97043801308923,0.35881,0.897984385026738
"B2M_ACVR1","B2M","ACVR1",32466,9518,0.000800047451838023,0.000294053077723623,849,-1.9694943721156,0.19645,0.641432093023256
"ADM_KDR","ADM","KDR",122,27,3.00640020711633e-06,8.34149306423388e-07,82,-1.964532382287,0.18679,0.624746571428571
"PPIA_NRP1","PPIA","NRP1",2143,404,5.28091446217238e-05,1.24813451775944e-05,695,-1.96074455398839,0.35772,0.897984385026738
"CXCL8_ADGRE5","CXCL8","ADGRE5",9543,1493,0.000235164567020583,4.61253672033377e-05,548,-1.95768279782084,0.95766,1
"TGFB1_TNFRSF1A","TGFB1","TNFRSF1A",397,110,9.78312198545233e-06,3.3983860632064e-06,313,-1.95363320355832,0.68704,1
"IL1RN_ADGRG6","IL1RN","ADGRG6",277,139,6.82600702763298e-06,4.29432420714263e-06,113,-1.94673259652946,0.84984,1
"CD93_SORT1","CD93","SORT1",398,109,9.80776461010082e-06,3.36749164444998e-06,258,-1.94627019538536,0.43518,1
"ITGB1_ADGRA2","ITGB1","ADGRA2",465,106,1.145882046155e-05,3.27480838818071e-06,327,-1.94223963773543,0.62368,1
"VEGFA_ADGRA2","VEGFA","ADGRA2",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-1.93485942658954,0.93467,1
"IGF1_ACVR1","IGF1","ACVR1",406,122,1.00049056072888e-05,3.76911908828346e-06,216,-1.93389103792475,0.19914,0.644004495412844
"ITGB1_FLT1","ITGB1","FLT1",465,106,1.145882046155e-05,3.27480838818071e-06,327,-1.9320478047114,0.69066,1
"TGFB1_SORT1","TGFB1","SORT1",397,110,9.78312198545233e-06,3.3983860632064e-06,313,-1.92946540569782,0.64552,1
"B2M_IFNGR1","B2M","IFNGR1",32466,9518,0.000800047451838023,0.000294053077723623,849,-1.92608004304029,0.05891,0.300813381818182
"CD58_LTBR","CD58","LTBR",214,37,5.27352167477783e-06,1.14309349398761e-06,169,-1.92583314186277,0.93624,1
"VEGFA_FLT1","VEGFA","FLT1",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-1.92466694827956,0.98891,1
"ITGB1_KDR","ITGB1","KDR",465,106,1.145882046155e-05,3.27480838818071e-06,327,-1.92184930208364,0.70714,1
"LRPAP1_ACVR1B","LRPAP1","ACVR1B",277,67,6.82600702763298e-06,2.06992605668026e-06,209,-1.92068291639624,0.23609,0.70827
"LGALS3_TNFRSF1A","LGALS3","TNFRSF1A",1044,296,2.57269001330283e-05,9.14474795190085e-06,412,-1.92045047569126,0.81575,1
"CXCL12_ITGAV","CXCL12","ITGAV",204,21,5.02709542829288e-06,6.48782793884858e-07,137,-1.91940415930017,0.27195,0.771349090909091
"LGALS9_ACVR1B","LGALS9","ACVR1B",450,109,1.10891810918225e-05,3.36749164444998e-06,342,-1.91862860526205,0.4734,1
"VEGFA_KDR","VEGFA","KDR",1030,236,2.53819033879494e-05,7.29108282651554e-06,339,-1.91446847984171,0.98979,1
"ITGAV_CLEC2D","ITGAV","CLEC2D",127,49,3.1296133303588e-06,1.51382651906467e-06,121,-1.91439111373085,0.48978,1
"CD44_LTBR","CD44","LTBR",1828,319,4.5046717857448e-05,9.85531958329855e-06,433,-1.91245834646526,0.99999,1
"CD55_BCR","CD55","BCR",698,80,1.72005520046492e-05,2.47155350051374e-06,342,-1.9112536649894,0.99106,1
