"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"VEGFB_CD74","VEGFB","CD74",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.1092788604795,0.67098,1
"LRPAP1_MERTK","LRPAP1","MERTK",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.10745073266746,0.28846,0.885647186761229
"VEGFB_TLR8","VEGFB","TLR8",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.0976160134887,0.58415,1
"THBS1_ITGAM","THBS1","ITGAM",8918,4383,0.000220395789120722,0.000134252026001827,952,-2.0974163720148,0.17072,0.593556857142857
"RNASET2_CCRL2","RNASET2","CCRL2",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-2.08666640801583,0.0617,0.268147098214286
"HEBP1_CCRL2","HEBP1","CCRL2",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-2.07969839365384,0.03783,0.181416280788177
"ICAM2_BCR","ICAM2","BCR",115,30,2.84206276619007e-06,9.18905037657954e-07,131,-2.07920889847709,0.38265,1
"LGALS9_ITGAM","LGALS9","ITGAM",518,259,1.28016392424909e-05,7.93321349178033e-06,520,-2.07260825606771,0.22109,0.724683888888889
"LRPAP1_ADGRE2","LRPAP1","ADGRE2",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.05989431080634,0.05066,0.229650803259604
"GAS6_CD209","GAS6","CD209",67,49,1.65581048117161e-06,1.50087822817466e-06,102,-2.05830641079335,0.13611,0.498600507996237
"LRPAP1_CCR1","LRPAP1","CCR1",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.05804005353449,0.12984,0.480605475285171
"LRPAP1_IL12RB1","LRPAP1","IL12RB1",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.05804005353449,0.12355,0.463044947064485
"IL18_SORT1","IL18","SORT1",340,95,8.40262035221412e-06,2.90986595258352e-06,294,-2.05416198469184,0.23747,0.768030049833887
"RNASET2_FPR3","RNASET2","FPR3",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-2.05271909686663,0.08005,0.332171884984026
"LRPAP1_AXL","LRPAP1","AXL",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.04974047297096,0.06549,0.281166549062845
"APP_CSF3R","APP","CSF3R",208,123,5.14042656841334e-06,3.76751065439761e-06,262,-2.04655697623296,0.0449,0.207157109004739
"HEBP1_FPR3","HEBP1","FPR3",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-2.04575125360702,0.04896,0.222982736842105
"ICAM2_CD72","ICAM2","CD72",115,30,2.84206276619007e-06,9.18905037657954e-07,131,-2.04451970554488,0.37567,1
"RNASET2_FPR1","RNASET2","FPR1",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-2.04427497366559,0.06887,0.292134836601307
"LRPAP1_TNFRSF21","LRPAP1","TNFRSF21",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.04374778158395,0.06453,0.277964402654867
"HEBP1_FPR1","HEBP1","FPR1",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-2.03730969018224,0.04133,0.194605828295042
"IL18_CD36","IL18","CD36",340,95,8.40262035221412e-06,2.90986595258352e-06,294,-2.03709430190282,0.14199,0.515773376865672
"RNASET2_SIGLEC10","RNASET2","SIGLEC10",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-2.01630691829197,0.03168,0.156698908629442
"LRPAP1_PILRA","LRPAP1","PILRA",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.01529046926147,0.04704,0.215752367491166
"HEBP1_SIGLEC10","HEBP1","SIGLEC10",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-2.00934191070413,0.02186,0.116183378746594
"VEGFB_FPR2","VEGFB","FPR2",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.00450966335624,0.63622,1
"APLP2_CSF3R","APLP2","CSF3R",1099,674,2.71602346090686e-05,2.0644733179382e-05,759,-1.99400518650921,0.15639,0.556656910420475
"IL18_BCR","IL18","BCR",340,95,8.40262035221412e-06,2.90986595258352e-06,294,-1.98016153037281,0.2855,0.87884347826087
"SEMA4D_CD209","SEMA4D","CD209",168,130,4.15188299756462e-06,3.98192182985113e-06,247,-1.97689219143276,0.30154,0.910936198603569
"LRPAP1_IFNGR1","LRPAP1","IFNGR1",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-1.97467951020224,0.01145,0.0678634703196347
"BST2_ITGAM","BST2","ITGAM",787,426,1.94495947564486e-05,1.30484515347429e-05,685,-1.95812131986497,0.31417,0.94251
"CD52_ITGAM","CD52","ITGAM",1553,843,3.83802041382016e-05,2.58212315581885e-05,724,-1.95406646449466,0.28752,0.884362464454976
