"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"INHBA_CD2","INHBA","CD2",221,41,5.44136512968374e-06,1.25938193466376e-06,95,-1.76881632438761,1,1
"CD86_CXCR4","CD86","CXCR4",456,125,1.12274321227863e-05,3.83957906909682e-06,342,-1.76831103847838,0.59529,1
"IL10_CXCR3","IL10","CXCR3",259,40,6.37698447324926e-06,1.22866530211098e-06,126,-1.7673295730061,0.90482,1
"CLEC2B_PLAUR","CLEC2B","PLAUR",406,91,9.9963540391475e-06,2.79521356230248e-06,308,-1.76537055937367,0.07877,0.250448205128205
"ICAM1_IL6R","ICAM1","IL6R",1564,377,3.85081224562234e-05,1.1580170472396e-05,373,-1.76257131705593,0.98678,1
"B2M_TNFRSF1A","B2M","TNFRSF1A",32466,9518,0.000799363621268381,0.000292360908637308,849,-1.76104534873049,0.07669,0.24509175257732
"ALCAM_BCR","ALCAM","BCR",145,30,3.57012644255268e-06,9.21498976583237e-07,127,-1.76003052666635,0.89535,1
"CCL5_BSG","CCL5","BSG",182,45,4.48112422444543e-06,1.38224846487485e-06,129,-1.75786383023597,0.64027,1
"CD93_CLEC2D","CD93","CLEC2D",398,109,9.79938154576528e-06,3.34811294825243e-06,258,-1.75778595203346,0.32262,0.683844102564103
"CD86_CLEC2D","CD86","CLEC2D",456,125,1.12274321227863e-05,3.83957906909682e-06,342,-1.75645139581342,0.62213,1
"LGALS9_IL6R","LGALS9","IL6R",450,109,1.10797027527497e-05,3.34811294825243e-06,342,-1.75556371684118,0.48677,0.911774622356495
"CXCL16_ITGAV","CXCL16","ITGAV",743,152,1.82938203228734e-05,4.66892814802173e-06,442,-1.75454841265189,0.29938,0.64561947826087
"IL18_IL1R1","IL18","IL1R1",402,65,9.89786779245639e-06,1.99658111593035e-06,282,-1.75447740123896,0.1623,0.40575
"ICAM1_CD72","ICAM1","CD72",1564,377,3.85081224562234e-05,1.1580170472396e-05,373,-1.75378573573527,0.96062,1
"CD93_CCR6","CD93","CCR6",398,109,9.79938154576528e-06,3.34811294825243e-06,258,-1.75365826031564,0.33305,0.696428330522766
"TGFB1_CXCR4","TGFB1","CXCR4",397,110,9.7747599840925e-06,3.3788295808052e-06,313,-1.75284079177015,0.67806,1
