"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL5_IL1RAP","CCL5","IL1RAP",182,45,4.49159367395062e-06,1.36991943686448e-06,129,-1.67613165300529,0.69772,1
"VEGFA_TNFRSF1A","VEGFA","TNFRSF1A",1030,236,2.54194587042261e-05,7.18446638000037e-06,339,-1.67494753852344,0.96652,1
"SPN_NRP1","SPN","NRP1",103,13,2.54194587042261e-06,3.95754503983071e-07,94,-1.6742834080351,0.87228,1
"IL10_LILRB2","IL10","LILRB2",259,40,6.39188330523743e-06,1.21770616610176e-06,126,-1.67344321118094,0.97994,1
"CD99_FPR1","CD99","FPR1",207,51,5.10857082696582e-06,1.55257536177974e-06,182,-1.67233168194899,0.52563,1
"ANXA1_IL12RB1","ANXA1","IL12RB1",1234,241,3.04539922728301e-05,7.33667965076309e-06,477,-1.67109301997658,0.30169,0.830273868613139
"VEGFB_FPR1","VEGFB","FPR1",158,39,3.89929560705604e-06,1.18726351194921e-06,143,-1.66964803674301,0.33715,0.893794366197183
"CCL5_FPR1","CCL5","FPR1",182,45,4.49159367395062e-06,1.36991943686448e-06,129,-1.66721137053933,0.71663,1
"CD48_BSG","CD48","BSG",698,141,1.72260021121843e-05,4.2924142355087e-06,392,-1.66672284361117,0.72009,1
"IL23A_FPR3","IL23A","FPR3",512,74,1.26356920937512e-05,2.25275640728825e-06,87,-1.66454605280537,0.99242,1
"TGFB1_CD36","TGFB1","CD36",397,110,9.79759718988131e-06,3.34869195677983e-06,313,-1.66360964816015,0.70661,1
"CD52_CCR6","CD52","CCR6",659,104,1.62635177534806e-05,3.16603603186457e-06,294,-1.66288700997508,0.72774,1
"OSM_ACVR1B","OSM","ACVR1B",134,28,3.30699754016145e-06,8.5239431627123e-07,80,-1.66230233680158,0.57938,1
"IL23A_ITGAV","IL23A","ITGAV",512,74,1.26356920937512e-05,2.25275640728825e-06,87,-1.66121525637475,0.96565,1
"CD93_IL6ST","CD93","IL6ST",398,109,9.82227627600192e-06,3.31824930262729e-06,258,-1.65950703854665,0.90384,1
"PPIA_PLXNB2","PPIA","PLXNB2",2143,404,5.28872815564626e-05,1.22988322776278e-05,695,-1.65878670592723,0.70732,1
"CCL3_LTBR","CCL3","LTBR",4991,1343,0.000123173318827954,4.08844845268665e-05,495,-1.65804465535945,0.71298,1
"ADM_MERTK","ADM","MERTK",122,27,3.01084850671416e-06,8.21951662118686e-07,82,-1.65743479639664,0.31703,0.85655051497006
"IL10_TLR8","IL10","TLR8",259,40,6.39188330523743e-06,1.21770616610176e-06,126,-1.65623942690872,0.94319,1
"CD58_ITGAM","CD58","ITGAM",214,37,5.28132442981008e-06,1.12637820364413e-06,169,-1.65488907300346,0.9188,1
"CD48_CD209","CD48","CD209",698,141,1.72260021121843e-05,4.2924142355087e-06,392,-1.65408616354853,0.732,1
"IGF1_CCR1","IGF1","CCR1",406,122,1.00197089649668e-05,3.71400380661036e-06,216,-1.6532495296335,0.35719,0.927296478711162
"KLRB1_SORT1","KLRB1","SORT1",208,27,5.13324991308643e-06,8.21951662118686e-07,131,-1.65169145317109,0.78267,1
"SEMA4D_ACVR1B","SEMA4D","ACVR1B",133,28,3.28231845404084e-06,8.5239431627123e-07,132,-1.65149564219659,0.63012,1
"ANXA1_ADGRE5","ANXA1","ADGRE5",1234,241,3.04539922728301e-05,7.33667965076309e-06,477,-1.64811224601899,0.2374,0.701889543676662
"TGFB1_IL6ST","TGFB1","IL6ST",397,110,9.79759718988131e-06,3.34869195677983e-06,313,-1.64270223337509,0.73412,1
"CD52_LILRB2","CD52","LILRB2",659,104,1.62635177534806e-05,3.16603603186457e-06,294,-1.64225847664192,0.91133,1
"INHBA_ITGAL","INHBA","ITGAL",221,41,5.45407803265433e-06,1.2481488202543e-06,95,-1.63975821849521,0.86297,1
"CD47_IL6R","CD47","IL6R",197,66,4.86177996575974e-06,2.0092151740679e-06,194,-1.63885012638965,0.42286,1
"CD48_PILRA","CD48","PILRA",698,141,1.72260021121843e-05,4.2924142355087e-06,392,-1.63676960548704,0.72405,1
"RNASET2_ACVR1B","RNASET2","ACVR1B",1481,315,3.65497265446202e-05,9.58943605805134e-06,536,-1.63673182302285,0.52914,1
"ITGB1_SIRPA","ITGB1","SIRPA",465,106,1.14757750460826e-05,3.22692134016966e-06,327,-1.63531518253828,0.97083,1
"KLRB1_NRP1","KLRB1","NRP1",208,27,5.13324991308643e-06,8.21951662118686e-07,131,-1.63377676255161,0.88204,1
"CD93_LTBR","CD93","LTBR",398,109,9.82227627600192e-06,3.31824930262729e-06,258,-1.63261414913546,0.86216,1
"LGALS3_CD36","LGALS3","CD36",1044,296,2.57649659099146e-05,9.01102562915301e-06,412,-1.63042705283918,0.72949,1
"VEGFA_SIRPA","VEGFA","SIRPA",1030,236,2.54194587042261e-05,7.18446638000037e-06,339,-1.62793460827839,0.98161,1
"CD52_TLR8","CD52","TLR8",659,104,1.62635177534806e-05,3.16603603186457e-06,294,-1.62505657724509,0.85041,1
"ICAM1_SIGLEC10","ICAM1","SIGLEC10",1564,377,3.85980906926306e-05,1.14768806155091e-05,373,-1.62431217649414,0.97981,1
"APP_IL10RB","APP","IL10RB",122,22,3.01084850671416e-06,6.69738391355967e-07,117,-1.62378111234804,0.64927,1
"CD48_IL12RB1","CD48","IL12RB1",698,141,1.72260021121843e-05,4.2924142355087e-06,392,-1.62238696909671,0.65378,1
"SPN_SIGLEC1","SPN","SIGLEC1",103,13,2.54194587042261e-06,3.95754503983071e-07,94,-1.62202645631035,0.91203,1
"HEBP1_SORT1","HEBP1","SORT1",113,15,2.78873673162868e-06,4.56639812288159e-07,108,-1.61942058989898,0.57527,1
"LRPAP1_SIGLEC10","LRPAP1","SIGLEC10",277,67,6.83610685540837e-06,2.03965782822044e-06,209,-1.61936053887822,0.58153,1
"OSM_BSG","OSM","BSG",134,28,3.30699754016145e-06,8.5239431627123e-07,80,-1.61792381763178,0.66769,1
"PPIA_ITGAL","PPIA","ITGAL",2143,404,5.28872815564626e-05,1.22988322776278e-05,695,-1.61661702508076,0.69914,1
"TGFB1_LTBR","TGFB1","LTBR",397,110,9.79759718988131e-06,3.34869195677983e-06,313,-1.61580935613781,0.70738,1
"ITGB1_MERTK","ITGB1","MERTK",465,106,1.14757750460826e-05,3.22692134016966e-06,327,-1.61475365836559,0.92523,1
"CD47_CD72","CD47","CD72",197,66,4.86177996575974e-06,2.0092151740679e-06,194,-1.61200746706599,0.44911,1
"LGALS3_IL6ST","LGALS3","IL6ST",1044,296,2.57649659099146e-05,9.01102562915301e-06,412,-1.60951968126892,0.75551,1
"CD47_ADGRE2","CD47","ADGRE2",197,66,4.86177996575974e-06,2.0092151740679e-06,194,-1.60833031990424,0.45272,1
"ICAM1_ADGRG6","ICAM1","ADGRG6",1564,377,3.85980906926306e-05,1.14768806155091e-05,373,-1.60819178037397,0.81541,1
"ANXA1_PLXNB2","ANXA1","PLXNB2",1234,241,3.04539922728301e-05,7.33667965076309e-06,477,-1.60781920188169,0.32659,0.870544321133412
"VEGFA_MERTK","VEGFA","MERTK",1030,236,2.54194587042261e-05,7.18446638000037e-06,339,-1.60737319544441,0.94674,1
"PLAU_FPR2","PLAU","FPR2",141,117,3.4797511430057e-06,3.56179053584764e-06,117,-1.60717829346347,0.33103,0.8796274204947
"SEMA4D_BSG","SEMA4D","BSG",133,28,3.28231845404084e-06,8.5239431627123e-07,132,-1.60711706914147,0.82332,1
"THBS1_NRP2","THBS1","NRP2",5434,421,0.000134106153979383,1.2816357398221e-05,454,-1.60653114837277,0.97421,1
"OSM_CD209","OSM","CD209",134,28,3.30699754016145e-06,8.5239431627123e-07,80,-1.60528771385018,0.67457,1
"CCL3_IL10RA","CCL3","IL10RA",4991,1343,0.000123173318827954,4.08844845268665e-05,495,-1.60468921914069,0.81162,1
"LRPAP1_ADGRG6","LRPAP1","ADGRG6",277,67,6.83610685540837e-06,2.03965782822044e-06,209,-1.60323676857412,0.53871,1
"ICAM1_TNFRSF1A","ICAM1","TNFRSF1A",1564,377,3.85980906926306e-05,1.14768806155091e-05,373,-1.60176616912266,0.97175,1
"HEBP1_NRP1","HEBP1","NRP1",113,15,2.78873673162868e-06,4.56639812288159e-07,108,-1.60151153656363,0.63459,1
"CD48_ADGRE5","CD48","ADGRE5",698,141,1.72260021121843e-05,4.2924142355087e-06,392,-1.59940666943751,0.78375,1
"LRPAP1_TNFRSF1A","LRPAP1","TNFRSF1A",277,67,6.83610685540837e-06,2.03965782822044e-06,209,-1.59681419516307,0.59949,1
"SEMA4D_CD209","SEMA4D","CD209",133,28,3.28231845404084e-06,8.5239431627123e-07,132,-1.59448096278727,0.83205,1
"APP_ITGAM","APP","ITGAM",122,22,3.01084850671416e-06,6.69738391355967e-07,117,-1.59417821295662,0.6376,1
"CD99_SIGLEC10","CD99","SIGLEC10",207,51,5.10857082696582e-06,1.55257536177974e-06,182,-1.59276898444017,0.63833,1
"RNASET2_BSG","RNASET2","BSG",1481,315,3.65497265446202e-05,9.58943605805134e-06,536,-1.59233907896507,0.67346,1
"VEGFB_SIGLEC10","VEGFB","SIGLEC10",158,39,3.89929560705604e-06,1.18726351194921e-06,143,-1.59008564134948,0.38864,0.973366887417219
"OSM_PILRA","OSM","PILRA",134,28,3.30699754016145e-06,8.5239431627123e-07,80,-1.58797051704576,0.68329,1
"PRNP_CD2","PRNP","CD2",244,87,6.02169701342831e-06,2.64851091127132e-06,229,-1.58782636643222,0.67295,1
"CCL5_SIGLEC10","CCL5","SIGLEC10",182,45,4.49159367395062e-06,1.36991943686448e-06,129,-1.58764880270411,0.80276,1
"IL1B_SORT1","IL1B","SORT1",7883,1070,0.000194545235888752,3.2573639943222e-05,493,-1.5872819743812,0.89914,1
"INHBA_IL10RB","INHBA","IL10RB",221,41,5.45407803265433e-06,1.2481488202543e-06,95,-1.58282750060087,0.94252,1
"LGALS3_LTBR","LGALS3","LTBR",1044,296,2.57649659099146e-05,9.01102562915301e-06,412,-1.58262732009193,0.7294,1
"B2M_CD36","B2M","CD36",32466,9518,0.000801231209991654,0.000289753182223913,849,-1.58217385448105,0.38435,0.971063061452514
"KLRB1_SIGLEC1","KLRB1","SIGLEC1",208,27,5.13324991308643e-06,8.21951662118686e-07,131,-1.58151996054283,0.91738,1
"RNASET2_CD209","RNASET2","CD209",1481,315,3.65497265446202e-05,9.58943605805134e-06,536,-1.57970231691162,0.68609,1
"ADM_ACVR1B","ADM","ACVR1B",122,27,3.01084850671416e-06,8.21951662118686e-07,82,-1.57941775234048,0.40228,0.995113684210526
"CD93_IL10RA","CD93","IL10RA",398,109,9.82227627600192e-06,3.31824930262729e-06,258,-1.5792594905673,0.93952,1
"CCL3_TNFRSF21","CCL3","TNFRSF21",4991,1343,0.000123173318827954,4.08844845268665e-05,495,-1.57819135050052,0.75219,1
"SEMA4D_PILRA","SEMA4D","PILRA",133,28,3.28231845404084e-06,8.5239431627123e-07,132,-1.57716376905286,0.81975,1
