"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"SEMA4A_ADGRE5","SEMA4A","ADGRE5",84,106,2.06517769649391e-06,3.25633333794135e-06,168,0.561588548583456,0.99999,1
"BAG6_SELL","BAG6","SELL",135,99,3.31903558365093e-06,3.0412924571339e-06,206,0.564376480535313,1,1
"OSM_CD2","OSM","CD2",406,440,9.98169219972058e-06,1.35168553650396e-05,345,0.56439761531471,1,1
"ALCAM_CLEC2D","ALCAM","CLEC2D",113,178,2.77815571075967e-06,5.4681823976751e-06,215,0.56541856582233,1,1
"ICAM1_NCR3","ICAM1","NCR3",790,1482,1.94225045265499e-05,4.55272264795197e-05,817,0.567784814374534,1,1
"SEMA4A_CD6","SEMA4A","CD6",84,106,2.06517769649391e-06,3.25633333794135e-06,168,0.567927406252027,0.99998,1
"PLAU_TNFRSF1A","PLAU","TNFRSF1A",61,102,1.49971237483487e-06,3.13345283462281e-06,119,0.568198666532314,0.83749,1
"ITGAV_NCR3","ITGAV","NCR3",81,152,1.99142135019056e-06,4.66945912610458e-06,181,0.568241192655872,1,1
"ALCAM_IL12RB1","ALCAM","IL12RB1",113,178,2.77815571075967e-06,5.4681823976751e-06,215,0.570983675044982,1,1
"ALCAM_IL10RA","ALCAM","IL10RA",113,178,2.77815571075967e-06,5.4681823976751e-06,215,0.574924002342095,1,1
"CD93_TNFRSF14","CD93","TNFRSF14",570,638,1.40137057976373e-05,1.95994402793074e-05,576,0.575202449322624,1,1
"B2M_IL12RB2","B2M","IL12RB2",41570,35581,0.00102201710527681,0.00109305279714426,1676,0.575711646335507,1,1
"IL1B_IL10RB","IL1B","IL10RB",13198,21711,0.000324478752837222,0.000666964651887214,1273,0.578992585414167,1,1
"IL15_IFNGR1","IL15","IFNGR1",73,109,1.79473776004828e-06,3.34849371543026e-06,156,0.580206126296962,0.99966,1
"PVR_NCR3","PVR","NCR3",19,36,4.67123526587909e-07,1.10592452986687e-06,52,0.582160263530757,0.99022,1
"CD93_TNFRSF25","CD93","TNFRSF25",570,638,1.40137057976373e-05,1.95994402793074e-05,576,0.582738303627773,1,1
"ICAM3_CCR8","ICAM3","CCR8",186,101,4.57289347080795e-06,3.10273270879318e-06,222,0.583414743537693,0.99999,1
"CD93_IL27RA","CD93","IL27RA",570,638,1.40137057976373e-05,1.95994402793074e-05,576,0.585051502838211,1,1
"BAG6_CCR4","BAG6","CCR4",135,99,3.31903558365093e-06,3.0412924571339e-06,206,0.585630327093076,1,1
"OSM_PLXND1","OSM","PLXND1",406,440,9.98169219972058e-06,1.35168553650396e-05,345,0.587173780094452,0.99781,1
"NCR3LG1_PLAUR","NCR3LG1","PLAUR",78,102,1.91766500388721e-06,3.13345283462281e-06,128,0.589202962104212,1,1
