"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"IL1B_ACKR3","IL1B","ACKR3",13198,21711,0.000327117343717942,0.000665180012368531,1273,0.11296679715603,0.99953,1
"GAS6_PLXNB2","GAS6","PLXNB2",67,49,1.66061994462056e-06,1.50125837621749e-06,102,0.114580327661019,0.99984,1
"IL1B_CLEC2D","IL1B","CLEC2D",13198,21711,0.000327117343717942,0.000665180012368531,1273,0.116175163340433,0.99994,1
"SEMA4A_IFNGR1","SEMA4A","IFNGR1",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.118211808147357,1,1
"CCL5_CD36","CCL5","CD36",85,275,2.10675664616041e-06,8.42542966244512e-06,177,0.11916365681091,0.99999,1
"GAS6_CALCRL","GAS6","CALCRL",67,49,1.66061994462056e-06,1.50125837621749e-06,102,0.122487525849108,1,1
"CD93_BSG","CD93","BSG",570,638,1.41276622154286e-05,1.95469968168727e-05,576,0.123231295027972,1,1
"THBS1_BCR","THBS1","BCR",8918,4383,0.000221035950240688,0.000134286029856353,952,0.1275890818129,1,1
"IL1B_IL1R1","IL1B","IL1R1",13198,21711,0.000327117343717942,0.000665180012368531,1273,0.133979975440359,1,1
"SELPLG_TNFRSF25","SELPLG","TNFRSF25",111,72,2.75117632616241e-06,2.20593067525836e-06,153,0.134691136608057,0.99995,1
"PLAU_ACKR3","PLAU","ACKR3",61,102,1.51190771077394e-06,3.12506845661601e-06,119,0.136547760302396,0.98353,1
"PLAU_CLEC2D","PLAU","CLEC2D",61,102,1.51190771077394e-06,3.12506845661601e-06,119,0.139755951283767,0.99112,1
"GAS6_IL6ST","GAS6","IL6ST",67,49,1.66061994462056e-06,1.50125837621749e-06,102,0.141634118697962,0.99999,1
"CD93_NRP2","CD93","NRP2",570,638,1.41276622154286e-05,1.95469968168727e-05,576,0.141758329386136,1,1
"TGFB1_ACKR1","TGFB1","ACKR1",480,432,1.18969787077294e-05,1.32355840515501e-05,554,0.142426471379986,1,1
"GAS6_TNFRSF10A","GAS6","TNFRSF10A",67,49,1.66061994462056e-06,1.50125837621749e-06,102,0.145576010152426,0.99964,1
"SEMA4A_IL27RA","SEMA4A","IL27RA",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.147938873632549,0.99962,1
"LGALS9_BCR","LGALS9","BCR",518,259,1.28388228554246e-05,7.93522284572104e-06,520,0.152390581476838,1,1
"TNFSF12_ITGAV","TNFSF12","ITGAV",95,43,2.3546103692381e-06,1.31743081994596e-06,119,0.155601340332249,0.99995,1
"PLAU_IL1R1","PLAU","IL1R1",61,102,1.51190771077394e-06,3.12506845661601e-06,119,0.157561078390882,0.99864,1
"GAS6_PLXND1","GAS6","PLXND1",67,49,1.66061994462056e-06,1.50125837621749e-06,102,0.157802453743142,0.99997,1
"CD58_MERTK","CD58","MERTK",187,374,4.63486462155289e-06,1.14585843409254e-05,400,0.159945409639917,0.9944,1
"B2M_NRP1","B2M","NRP1",41570,35581,0.00103032792683398,0.00109012804661622,1676,0.160513957493894,1,1
"TGFB1_CD74","TGFB1","CD74",480,432,1.18969787077294e-05,1.32355840515501e-05,554,0.162474379881693,1,1
"TGFB1_ADGRG1","TGFB1","ADGRG1",480,432,1.18969787077294e-05,1.32355840515501e-05,554,0.165894856519349,1,1
"SEMA4A_TNFRSF1A","SEMA4A","TNFRSF1A",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.172094646018107,1,1
"THBS1_ITGA3","THBS1","ITGA3",8918,4383,0.000221035950240688,0.000134286029856353,952,0.173824543971034,1,1
"SEMA4D_LTBR","SEMA4D","LTBR",168,130,4.16394254770527e-06,3.98293038588315e-06,247,0.174719146838521,1,1
"GAS6_TNFRSF14","GAS6","TNFRSF14",67,49,1.66061994462056e-06,1.50125837621749e-06,102,0.181106810478832,0.99992,1
"OSM_ACVR1B","OSM","ACVR1B",406,440,1.00628611569544e-05,1.34806874599122e-05,345,0.181478621660112,0.99277,1
"CCL19_CD36","CCL19","CD36",27,92,6.69205052309776e-07,2.81868919616346e-06,48,0.193941219942918,0.83831,1
"SEMA4D_PLXNB2","SEMA4D","PLXNB2",168,130,4.16394254770527e-06,3.98293038588315e-06,247,0.196010126954234,1,1
"SEMA4A_SORT1","SEMA4A","SORT1",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.196260617332457,0.99731,1
"LGALS9_ITGA3","LGALS9","ITGA3",518,259,1.28388228554246e-05,7.93522284572104e-06,520,0.198625970110982,0.99999,1
"ADM_MERTK","ADM","MERTK",189,389,4.68443536616843e-06,1.19181532316042e-05,297,0.201329286603415,0.98294,1
"SEMA4D_CALCRL","SEMA4D","CALCRL",168,130,4.16394254770527e-06,3.98293038588315e-06,247,0.203917267800491,1,1
